id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
458334,2022,-23.613.293.291.481.700,-46.749.644.220.597.900,5,kilometer,365,"3086,38",18,20,35,26,99
458335,2022,-23.614.077.684.076.200,-46.748.439.095.433.200,5,kilometer,601,"2078,78",33,37,57,47,174
458336,2022,-23.614.636.445.384.000,-4.674.758.158.218.750,5,kilometer,152,"8520,77",4,10,6,8,28
458337,2022,-23.614.846.699.760.000,-4.674.709.715.723.570,5,kilometer,157,"1810,81",11,23,13,15,62
458340,2022,-23.611.602.761.097.600,-4.675.079.405.883.770,5,kilometer,375,"6904,18",33,21,18,8,80
458343,2022,-2.360.197.219.899.570,-4.673.354.441.565.700,5,kilometer,457,"2377,36",23,26,29,21,99
458344,2022,-2.360.404.090.209.550,-4.673.243.885.378.760,5,kilometer,114,"1512,5",5,13,9,14,41
458345,2022,-23.610.744.071.928.500,-4.672.881.085.637.980,5,kilometer,758,"1549,81",76,65,52,55,248
458346,2022,-23.612.129.027.951.300,-4.672.958.111.113.060,5,kilometer,237,"14606,48",8,11,8,9,36
458347,2022,-2.361.220.126.591.230,-4.674.880.492.503.120,5,kilometer,309,"1592,33",11,26,22,36,95
458348,2022,-23.612.936.003.716.600,-4.674.914.916.170.820,5,kilometer,89,"1718,48",6,11,6,8,31
458355,2022,-2.360.895.247.747.920,-4.672.835.436.302.670,5,kilometer,736,"1709,52",52,65,70,56,243
458356,2022,-23.608.893.831.656.000,-46.728.913.654.493.800,5,kilometer,464,"1614,66",30,34,45,46,155
458357,2022,-2.361.024.924.060.870,-4.673.106.751.320.080,5,kilometer,103,"13528,95",8,3,,4,15
458358,2022,-23.612.532.316.695.400,-4.673.057.703.171.810,5,kilometer,38,"10462,5",0,0,5,,5
458359,2022,-236.125.864.106.461,-4.673.246.061.748.920,5,kilometer,284,"12451,01",14,11,11,13,49
458361,2022,-23.598.000.835.856.600,-4.672.404.664.962.680,5,kilometer,327,"19923,97",13,20,28,16,77
458362,2022,-23.602.210.798.311.100,-4.672.496.696.083.030,5,kilometer,233,"23740,29",10,12,14,15,51
458366,2022,-2.361.161.998.181.790,-4.674.699.285.494.270,5,kilometer,372,"6013,73",12,15,13,17,57
458367,2022,-2.361.397.973.347.650,-4.674.793.492.934.720,5,kilometer,522,"2393,69",34,49,58,47,188
458368,2022,-23.607.509.640.733.300,-4.674.952.448.962.830,5,kilometer,352,"6210,62",11,16,12,16,55
458369,2022,-236.082.742.011.301,-467.483.815.613.589,5,kilometer,567,"11434,22",51,41,20,29,141
458370,2022,-23.608.901.968.136.700,-4.674.853.657.713.460,5,kilometer,473,"12989,82",40,33,21,11,105
458371,2022,-23.608.143.502.896.500,-46.733.792.442.939.000,5,kilometer,326,18829,27,30,35,18,110
458377,2022,-23.612.864.561.566.900,-46.745.624.114.680.700,5,kilometer,147,8383,3,8,5,12,28
458379,2022,-2.361.278.695.651.070,-4.674.013.392.322.110,5,kilometer,456,"16218,35",12,20,24,29,85
458383,2022,-2.361.391.788.715.180,-4.673.997.912.347.510,5,kilometer,349,"14117,9",21,16,20,15,72
