id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
431966,2022,-23.6193294532298,-46.676188402985,5,kilometer,252.0,"10266,21",7.0,9.0,7.0,7.0,30
431968,2022,-23.616949046178,-46.6739460521729,5,kilometer,228.0,"15650,5",,5.0,,,5
431969,2022,-23.6181450350232,-46.6750671319837,5,kilometer,204.0,"17773,15",9.0,10.0,6.0,8.0,33
431970,2022,-23.6165923307137,-46.680045117862,5,kilometer,168.0,"9282,49",,,3.0,,3
431971,2022,-23.6328653886137,-46.6707942674071,5,kilometer,330.0,"1899,29",16.0,20.0,22.0,28.0,86
431974,2022,-23.6319683569181,-46.671537807483,5,kilometer,170.0,"1889,58",8.0,14.0,7.0,18.0,47
431975,2022,-23.6252073495351,-46.6771377503309,5,kilometer,107.0,"1844,16",,5.0,6.0,5.0,16
431976,2022,-23.6243843170378,-46.6766210801699,5,kilometer,141.0,"1598,61",9.0,10.0,6.0,8.0,33
431977,2022,-23.6309095526479,-46.6732258200655,5,kilometer,229.0,"1987,64",24.0,19.0,16.0,12.0,71
431978,2022,-23.6270980811234,-46.6730002698692,5,kilometer,234.0,"12946,9",11.0,6.0,7.0,7.0,31
431979,2022,-23.6279705680466,-46.6722978367556,5,kilometer,214.0,"11660,79",4.0,4.0,3.0,8.0,19
431980,2022,-23.6259753190178,-46.6729157442956,5,kilometer,207.0,"10489,69",6.0,11.0,4.0,9.0,30
431981,2022,-23.6271794752724,-46.6715630251139,5,kilometer,278.0,"13579,82",6.0,8.0,8.0,9.0,31
431982,2022,-23.6258245197506,-46.6682171730496,5,kilometer,339.0,"10515,49",20.0,7.0,12.0,12.0,51
431984,2022,-23.6229630528856,-46.675108798779696,5,kilometer,457.0,"25657,31",30.0,39.0,42.0,30.0,141
431985,2022,-23.6238371979869,-46.6734312174761,5,kilometer,382.0,"18504,49",14.0,13.0,13.0,11.0,51
431986,2022,-23.619959263036,-46.6771657775964,5,kilometer,150.0,"12307,32",0.0,0.0,0.0,0.0,0
431988,2022,-23.6215684985609,-46.6754710471522,5,kilometer,235.0,"12832,55",8.0,16.0,5.0,7.0,36
431989,2022,-23.6214071970961,-46.6748596674644,5,kilometer,186.0,"12485,55",9.0,10.0,4.0,6.0,29
431990,2022,-23.6201857196174,-46.678569212410494,5,kilometer,359.0,"20178,96",20.0,20.0,21.0,22.0,83
431991,2022,-23.6194029705186,-46.6778307550112,5,kilometer,261.0,"16308,92",10.0,10.0,14.0,6.0,40
431992,2022,-23.6289158281096,-46.6685138700899,5,kilometer,302.0,"21257,48",34.0,26.0,26.0,12.0,98
431993,2022,-23.6291827939192,-46.668106343475,5,kilometer,281.0,"21310,53",30.0,17.0,17.0,9.0,73
431994,2022,-23.62951528911,-46.668581393852,5,kilometer,274.0,"18410,37",25.0,27.0,26.0,9.0,87
431995,2022,-23.6317981111305,-46.6683414975428,5,kilometer,248.0,"6848,65",15.0,11.0,4.0,10.0,40
431996,2022,-23.6312912812755,-46.6684833584561,5,kilometer,269.0,"14179,52",4.0,4.0,0.0,3.0,11
431998,2022,-23.6350978736956,-46.6661245993297,5,kilometer,263.0,"8202,76",14.0,13.0,13.0,8.0,48
432001,2022,-23.6266279545487,-46.6763540717974,5,kilometer,501.0,"3174,49",25.0,25.0,21.0,31.0,102
432002,2022,-23.6252810121282,-46.675763951997,5,kilometer,639.0,"22711,14",37.0,64.0,76.0,32.0,209
432003,2022,-23.625329671151,-46.6743419058956,5,kilometer,519.0,"30378,11",18.0,27.0,28.0,52.0,125
432004,2022,-23.6260512596828,-46.6751993445672,5,kilometer,214.0,"17057,15",10.0,11.0,4.0,8.0,33
432005,2022,-23.6262067925779,-46.6748042985964,5,kilometer,184.0,"18698,66",12.0,4.0,,,16
432006,2022,-23.62443492666,-46.6750004434246,5,kilometer,402.0,"20921,58",16.0,35.0,45.0,33.0,129
432008,2022,-23.623754547113,-46.6757307448338,5,kilometer,316.0,"28515,17",16.0,19.0,30.0,18.0,83
432009,2022,-23.6238167272753,-46.6763465061768,5,kilometer,180.0,"16693,21",4.0,10.0,5.0,,19
432010,2022,-23.6265774767909,-46.6740249620185,5,kilometer,324.0,"27878,87",27.0,27.0,10.0,12.0,76
432011,2022,-23.6285399280448,-46.6666762833205,5,kilometer,251.0,"7537,85",10.0,7.0,8.0,7.0,32
432012,2022,-23.6236010225615,-46.6761530745696,5,kilometer,148.0,"16298,92",5.0,4.0,4.0,,13
432022,2022,-23.6391245069741,-46.67075356084,5,kilometer,300.0,"25066,8",26.0,40.0,14.0,8.0,88
432023,2022,-23.6380759946414,-46.6697528444428,5,kilometer,221.0,"8489,65",6.0,4.0,6.0,,16
432032,2022,-23.643380490086,-46.6708161269358,5,kilometer,529.0,"15121,07",26.0,44.0,34.0,28.0,132
432033,2022,-23.6428856824916,-46.6706187192908,5,kilometer,226.0,"12736,3",15.0,8.0,3.0,4.0,30
