Bairro,pontos,lat_mediana,lon_mediana,distancia_mediana_km,renda_mediana_2025,criancas_0_9_mediana,populacao_mediana,score_trafego_2025,cluster_predominante,cluster_share,rank_score_trafego,rank_proximidade,score_index_0_100
Jardim das Acácias,14,-23.6240874390258,-46.69024855806265,2.5615218916677343,15332.850225,24.0,336.5,367988.4054,0.0,0.6428571428571429,41,25,23.214321055271153
Vila Cruzeiro,22,-23.63502957780485,-46.7139184192138,0.3295036628694282,11320.541925,32.5,423.0,367917.6125625,2.0,0.4090909090909091,42,1,23.20944011003045
Granja Julieta,5,-23.6405681789018,-46.7016492359769,1.4895509441289227,15250.943400000002,24.0,294.0,366022.64160000003,0.0,1.0,43,11,23.078787775312406
Jardim Prudência,8,-23.650497570431803,-46.672056856298155,4.603962121133261,9611.580825000001,38.0,356.5,365240.07135000004,2.0,0.625,44,133,23.024831998539717
Vila São Paulo,1,-23.6607034563312,-46.6789731098283,4.608313388790322,7801.5861,46.0,437.0,358872.9606,2.0,1.0,45,134,22.585839580524837
Brooklin Paulista,102,-23.6130911784096,-46.6828634476648,3.9091696671870966,15920.76255,22.5,297.0,358217.157375,0.0,0.5643564356435643,46,73,22.54062399455679
Jardim Colombo,9,-23.5994358542832,-46.7303240734462,4.169499869486929,8863.527750000001,40.0,398.0,354541.11000000004,2.0,0.6666666666666666,47,91,22.287171998941904
Vila Santa Catarina,1,-23.6502949889561,-46.6714890261845,4.639955097266012,12047.805,29.0,369.0,349386.34500000003,0.0,1.0,48,137,21.931767037335344
Brooklin Novo,4,-23.6118378541469,-46.680030997069906,4.167409109221309,14635.005000000001,23.5,313.5,343922.61750000005,0.0,1.0,49,90,21.555060075453245
Lar São Paulo,6,-23.6092746089601,-46.74158954261161,3.971783194522853,10627.253175000002,31.0,352.0,329444.84842500003,2.0,0.6666666666666666,50,75,20.556863074765726
Cidade Monções,65,-23.6126622140901,-46.6884557643722,3.647112899787942,14904.7899,22.0,267.0,327905.3778,0.0,0.5230769230769231,51,57,20.450721379000242
Alto da Boa Vista,3,-23.633734775652,-46.695454230051,1.8151550338249685,13636.542150000001,24.0,393.0,327277.0116,0.0,0.6666666666666666,52,14,20.407397490290307
Campo Belo,77,-23.6214071970961,-46.6754549397326,4.09116392553006,17029.3893,19.0,243.0,323558.3967,0.0,0.6103896103896104,53,84,20.15101059665615
Jardim Santo Amaro,5,-23.6513205526308,-46.6985790317072,2.6574326286721472,14617.48365,22.0,236.0,321584.6403,0.0,0.8,54,29,20.01492625186784
Jardim Promissão,4,-23.6567435539694,-46.7139702099461,2.5797671368473667,7607.898375,40.5,537.5,308119.8841875,1.0,0.5,55,26,19.08657333389685
Jardim Caboré,7,-23.6119775868874,-46.7429294086371,3.8369723499026476,10197.11385,30.0,314.0,305913.4155,2.0,0.5714285714285714,56,70,18.934444203050532
Vila Inah,2,-23.5922278424548,-46.72441135545435,4.747493801709913,13327.331325,22.0,393.5,293201.28914999997,0.0,1.0,57,143,18.05798275866665
Jardim Sílvia (Zona Oeste),1,-23.5968038412571,-46.706313011663,4.1610688488052645,18254.4516,16.0,186.0,292071.2256,0.0,1.0,58,88,17.98006840319153
Morumbi,4,-23.600583668511,-46.715440726482555,3.6994887354285897,19906.915875,14.5,242.0,288650.2801875,0.0,1.0,59,63,17.744204891860228
Vila Sofia,20,-23.6587576838652,-46.6928271436286,3.466798176488801,11191.79985,25.5,370.5,285390.896175,2.0,0.5,60,51,17.519480534916003
Jurubatuba,8,-23.668657676341653,-46.7038854119386,4.005497430602224,7312.0278,39.0,529.0,285169.0842,2.0,0.5,61,78,17.50418729139108
Jardim das Palmas,8,-23.62000584709375,-46.74608399582495,3.6890035132942716,3658.79745,74.0,538.5,270751.0113,1.0,0.5,62,61,16.510106155691382
Residencial Morumbi,1,-23.6135828331442,-46.7532668476677,4.646946789311288,19271.6139,14.0,250.0,269802.5946,0.0,1.0,63,138,16.44471578370536
Vila das Belezas,16,-23.646627218167502,-46.74431611711695,3.4517386909991457,5235.2454,51.0,568.0,266997.5154,1.0,0.5,64,50,16.251314325951345
Vila Franca,11,-23.6367203653298,-46.7462549784702,3.3879191458161007,2917.7147999999997,91.0,757.0,265512.04679999995,1.0,0.5454545454545454,65,48,16.148895901299447
Jardim Aeroporto,4,-23.63211681162185,-46.667606928539996,4.658744894601888,10396.14345,25.5,278.5,265101.657975,2.0,0.75,66,139,16.120600872410083
Vila Cordeiro,17,-23.6190515760699,-46.6906426032416,2.974954791244941,10412.013149999999,25.0,360.0,260300.32875,2.0,0.7058823529411765,67,34,15.78956420461406
Jardim Itapeva,8,-23.664445109175098,-46.68640393558135,4.370529888396044,9782.884650000002,26.5,467.0,259246.44322500005,1.0,0.42857142857142855,68,110,15.71690208625361
Vila Sônia,16,-23.5984908389947,-46.73019705664295,4.180710295498231,9709.08015,26.0,286.0,252436.0839,2.0,0.5625,69,94,15.247349062123797
Jardim Duprat,1,-23.658647000345,-46.74840764392351,4.529512458568545,1938.2055,128.0,716.0,248090.304,1.0,1.0,70,125,14.94772109877143
Chácara Santo Antônio (Zona Sul),32,-23.6328145379372,-46.7039121209629,1.0356324320235404,11440.737000000001,21.5,347.5,245975.84550000002,2.0,0.53125,71,5,14.801935783240818
Jardim Caravelas,8,-23.637733136067197,-46.7165510093541,0.665206411056839,8438.285625,29.0,352.5,244710.28312500002,2.0,0.5,72,3,14.714679206598124
Jardim Taquaral,17,-23.6632069648672,-46.6875994483036,4.162259304606508,8922.606,27.0,352.0,240910.362,2.0,0.6470588235294118,73,89,14.452686502461546
Fazenda Morumbi,14,-23.6089231545676,-46.72364978386764,2.955890072899539,6396.395774999999,37.5,430.5,239864.84156249996,2.0,0.5714285714285714,74,33,14.380601130781445
Jardim Iracema,7,-23.6545671185694,-46.7483998565018,4.210140709025541,4109.9058,58.0,633.0,238374.53640000004,1.0,0.5714285714285714,75,96,14.277849240237389
Socorro,18,-23.672022342838602,-46.7143317205244,4.289445414320177,5189.270625,44.5,472.5,230922.5428125,2.0,0.6111111111111112,76,102,13.764057535890483
Jardim das Flores,2,-23.668369350528103,-46.73499805328855,4.447580303116148,4642.562925,49.5,414.5,229806.8647875,1.0,0.5,77,116,13.687135017474919
Vila Anhangüera,7,-23.6637416286427,-46.6953823113537,3.8912320160097194,7242.27735,31.0,393.0,224510.59785000002,2.0,0.7142857142857143,78,72,13.321973938826275
Umarizal,2,-23.620743701542303,-46.7531907260987,4.31513208114802,3782.0013,58.0,546.5,219356.0754,1.0,0.5,79,105,12.966585700285352
Jardim Santa Efigênia,2,-23.6412035784505,-46.75718318799625,4.556258646441755,8600.724825000001,25.5,230.5,219318.48303750003,2.0,1.0,80,129,12.963993824195756
Vila Tramontano,4,-23.6159838975734,-46.70454157714265,2.1278651759715466,13606.812450000001,16.0,207.5,217708.99920000002,0.0,0.5,81,20,12.853024935900542
Vila Alexandria,12,-23.64062831028615,-46.67054186075955,4.461823076523272,10529.54595,20.5,274.0,215855.691975,2.0,0.5833333333333334,82,117,12.72524518587386
Paraisópolis,103,-23.6153441864911,-46.7269964256434,2.441640655503449,2026.545675,105.0,658.0,212787.295875,1.0,0.696078431372549,83,24,12.513688849529872
Jardim Santo Antônio,7,-23.6424420235794,-46.7315091010494,2.085366281956322,2594.9615999999996,80.0,613.0,207596.92799999996,1.0,0.5714285714285714,84,18,12.155829180788755
Parque Reboucas,27,-23.625594243242,-46.7474439394289,3.5498104304317173,3752.6643,55.0,422.0,206396.5365,2.0,0.5555555555555556,85,55,12.0730659326154
Conjunto Promorar São Luis,6,-23.6582675884954,-46.7457034065649,4.255964511794232,2094.9852,95.5,802.5,200071.0866,1.0,0.8333333333333334,86,99,11.636945900207772
Jardim Casablanca,14,-23.6520642205654,-46.74666801265765,3.998144613425713,3098.6859750000003,64.0,488.0,198315.90240000002,2.0,0.5714285714285714,87,77,11.515931426567667
Jardim Umarizal,16,-23.62493222648825,-46.75403293287465,4.263674527695626,3185.40915,61.0,574.0,194309.95815,1.0,0.5625,88,100,11.239734070845481
Super Quadra Morumbi,11,-23.61484669976,-46.7479349293472,4.117406394765447,6695.4195,29.0,365.0,194167.1655,2.0,0.6363636363636364,89,85,11.229888963204115
Jardim Dinar,1,-23.6579267800012,-46.7377395823376,3.6716850322568693,2983.16865,65.0,511.0,193905.96225,2.0,1.0,90,59,11.211879814186117
Chácara Japonesa,3,-23.6387335770825,-46.714139743191,0.5690616283948067,6651.9222,29.0,349.0,192905.7438,2.0,0.6666666666666666,91,2,11.142917873181934
Jardim Bronzato,1,-23.6406847289333,-46.744301078519904,3.2553473590998414,3566.9634,54.0,637.0,192616.02360000001,1.0,1.0,92,42,11.122942569446916
Jardim Novo Santo Amaro,10,-23.6620354454276,-46.7399501424865,4.14253033840709,2632.0371000000005,72.5,557.0,190822.68975000002,1.0,0.5555555555555556,93,86,10.99929779648307
Jardim Jamaica,1,-23.6113806744245,-46.7524117439723,4.6953532033759116,4253.73795,44.0,573.0,187164.4698,1.0,1.0,94,141,10.747074946192491
Parque Alves de Lima,5,-23.6700814279169,-46.7322195360971,4.366442259168258,4674.87405,40.0,482.0,186994.962,2.0,0.6,95,109,10.735387912321691
Vila Analia,2,-23.6190985292068,-46.7526140560904,4.323993535407295,4849.821900000001,38.5,527.0,186718.14315000002,1.0,0.5,96,106,10.716302116411265
Jardim Londrina,20,-23.6160256499799,-46.74013969508445,3.37924021223197,10532.121599999999,17.5,248.0,184312.12799999997,2.0,0.65,97,47,10.550414879648665
Nova Piraju,2,-23.630169019587647,-46.66750889043165,4.681476797321049,8308.20375,21.5,249.5,178626.38062500002,2.0,1.0,98,140,10.158400340185382
Jardim Jua,1,-23.665794838788,-46.6920741745454,4.173237359759605,4934.84145,36.0,452.0,177654.2922,2.0,1.0,99,92,10.091377876626845
Jardim Vazani,6,-23.61053276016585,-46.744497241922545,4.050159287599091,7827.631350000001,22.5,366.0,176121.70537500002,2.0,0.8333333333333334,100,80,9.98571079739087
Jardim Mirante,4,-23.64655409559865,-46.73449614413105,2.616926341875722,3044.528025,57.5,484.0,175060.36143750002,1.0,0.5,101,28,9.91253444476208
Jardim Maria Duarte,15,-23.6200052402453,-46.7518500497626,4.17409860397166,4820.56575,36.0,439.0,173540.367,2.0,0.5333333333333333,102,93,9.807735571350417
Jardim Taboão,8,-23.61033293899765,-46.7490730025938,4.504268827170462,6692.168175000001,25.5,364.0,170650.28846250003,2.0,0.75,103,123,9.608473674511256
Vila Prel,6,-23.6473023784342,-46.7522239438266,4.253758470261452,4395.254325,38.5,429.5,169217.2915125,2.0,0.6666666666666666,104,98,9.509673006392132
Jardim Germânia,3,-23.6508215748913,-46.754205290151695,4.584591249767676,4335.53505,39.0,473.0,169085.86695000003,2.0,1.0,105,131,9.50061169291044
Vila Nova das Belezas,7,-23.6431494991723,-46.7487461949783,3.7584180837528725,2632.9264500000004,64.0,508.0,168507.29280000002,2.0,0.7142857142857143,106,65,9.460720810674818
Jardim Monte Kemel,31,-23.6029359671273,-46.7369127638911,4.208170718324991,4829.505450000001,34.0,389.0,164203.1853,2.0,0.7741935483870968,107,95,9.16396602926616
Jardim Guedala,3,-23.5910377891918,-46.7073854524962,4.8227984504055526,27142.60395,6.0,213.0,162855.6237,3.0,1.0,108,144,9.07105586193351
Jardim Monte Azul,10,-23.64680335828,-46.73753270316265,2.845782155022758,4397.51235,37.0,450.0,162707.95695,2.0,0.6,109,31,9.060874700306488
Vila São Francisco (Zona Sul),4,-23.62948683569845,-46.69962407590535,1.4746934987699376,7539.04305,21.0,259.0,158319.90405,2.0,1.0,110,10,8.758332145514554
Jardim São Luís,66,-23.6559761162643,-46.7336122383008,3.217981920941063,2555.17185,59.5,491.0,152032.72507500002,2.0,0.5230769230769231,111,41,8.324850773963488
