CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05704-130,Jardim Fonte do Morumbi,33537.0,23.0,267.0,2.45,1,771350.9
05704-080,Jardim Fonte do Morumbi,36399.56,21.0,259.0,2.13,1,764390.75
04708-001,Santo Amaro,38180.27,20.0,286.0,4.62,1,763605.38
05520-200,Vila Sônia,12939.04,59.0,553.0,2.07,3,763403.22
05805-040,Jardim São Luís,11485.11,66.0,558.0,4.46,1,758017.4
05654-010,Jardim Viana,18002.92,42.0,490.0,2.64,1,756122.46
04578-910,Brooklin Paulista,22721.11,33.0,278.0,4.27,1,749796.76
05727-190,Vila Andrade,16798.83,44.5,414.0,1.22,2,747547.85
05628-000,Jardim Colombo,18656.8,40.0,557.0,2.26,1,746271.83
04715-003,Chácara Santo Antônio (Zona Sul),15744.54,47.0,502.0,4.25,1,739993.58
05750-260,Vila Praia,10621.5,69.5,538.0,0.73,4,738194.34
05713-420,Jardim Ampliação,15089.29,48.0,466.0,1.5,3,724285.9
05784-060,Parque Esmeralda,7660.08,94.0,773.0,2.36,1,720047.1
05616-073,Vila Progredior,22187.0,32.0,299.0,3.54,1,709983.86
05749-350,Jardim das Palmas,8795.29,80.0,679.0,1.03,1,703623.23
05706-290,Paraíso do Morumbi,25705.64,27.0,296.0,1.96,6,694052.27
05614-040,Jardim Leonor,28825.85,24.0,268.0,3.76,1,691820.51
05691-010,Vila Tramontano,17560.22,39.0,350.0,2.97,1,684848.41
05639-090,Lar São Paulo,15111.41,45.0,362.0,0.54,1,680013.35
05717-210,Vila Andrade,20488.5,33.0,289.0,2.2,3,676120.46
04725-000,Vila Elvira,11151.52,60.0,568.0,4.52,1,669091.5
05662-060,Paraisópolis,8707.98,76.0,430.5,1.08,2,661806.78
04562-040,Brooklin Paulista,15119.03,43.0,472.0,5.05,1,650118.33
05685-900,Real Parque,19610.02,33.0,417.0,3.74,1,647130.57
04703-002,Santo Amaro,20095.65,32.0,257.0,5.11,1,643060.76
05658-010,Jardim Leonor,23722.23,27.0,353.0,2.0,1,640500.3
05657-110,Jardim Vitória Régia,20607.18,31.0,238.0,2.05,1,638822.43
05704-070,Jardim Fonte do Morumbi,31918.97,20.0,236.0,2.19,1,638379.36
04710-041,Santo Amaro,13564.72,47.0,551.0,4.63,1,637542.04
05653-000,Jardim Leonor,21158.75,30.0,331.0,2.73,1,634762.36
05687-002,Real Parque,21828.6,29.0,322.0,3.35,1,633029.37
04565-902,Cidade Monções,26296.14,24.0,173.0,4.93,1,631107.34
05684-030,Real Parque,17354.91,36.0,324.0,3.31,2,624776.71
05684-011,Real Parque,25985.72,24.0,414.0,3.98,3,623657.31
05685-010,Real Parque,20002.97,31.0,372.0,3.28,1,620092.11
05622-001,Vila Sônia,17490.25,35.0,356.5,2.51,2,612158.81
05621-025,Jardim Leonor,16832.85,36.0,319.0,2.51,1,605982.76
05658-000,Jardim Leonor,27420.03,22.0,233.0,2.08,1,603240.77
05533-000,Instituto de Previdência,13667.69,44.0,453.0,2.75,3,601378.47
05630-070,Vila Suzana,18732.19,32.0,456.0,0.44,1,599430.22
05632-020,Jardim Monte Kemel,10330.09,58.0,489.0,2.14,1,599145.16
05726-110,Vila Andrade,12584.42,47.0,432.0,0.81,1,591467.65
04704-030,Jardim das Acácias,39163.3,15.0,319.0,5.16,1,587449.52
05615-000,Vila Progredior,15432.0,38.0,410.5,3.77,2,586416.05
05709-010,Vila Suzana,18473.05,31.5,357.5,0.41,4,581901.16
05541-280,Jardim das Vertentes,12054.46,48.0,572.0,2.57,1,578613.97
04710-010,Santo Amaro,15896.03,36.0,281.5,4.66,2,572257.02
05590-130,Vila Gomes,21589.64,26.5,255.5,4.72,2,572125.34
04710-110,Santo Amaro,16800.72,34.0,269.0,4.51,1,571224.56
05729-120,Vila Andrade,10743.24,53.0,541.0,2.28,1,569391.93
05641-030,Vila Suzana,21049.4,27.0,342.0,0.25,7,568333.84
05750-110,Super Quadra Morumbi,7163.29,79.0,680.0,0.91,1,565899.67
05705-901,Jardim Morumbi,35162.68,16.0,275.5,2.47,4,562602.9
05711-001,Jardim Caboré,12730.75,44.0,367.0,0.72,6,560153.03
05538-020,Jardim Peri Peri,13643.52,41.0,348.0,3.36,1,559384.25
05787-902,Pirajussara,8548.54,65.0,552.0,2.14,1,555654.85
05684-060,Real Parque,17260.19,32.0,528.0,3.43,1,552326.17
05658-060,Jardim Leonor,19028.64,29.0,351.0,2.39,1,551830.46
05640-020,Parque Bairro Morumbi,14839.84,37.0,446.0,0.32,3,549074.24
04578-000,Brooklin Paulista,21829.95,25.0,270.0,4.53,4,545748.76
05639-110,Lar São Paulo,11813.43,46.0,415.0,0.93,1,543417.89
05638-030,Jardim Londrina,13910.43,39.0,319.0,0.79,2,542506.66
04757-000,Jardim Dom Bosco,12840.31,42.0,348.0,3.92,2,539293.19
04738-000,Santo Amaro,13130.89,41.0,402.0,4.96,1,538366.68
05734-080,Vila Andrade,9578.44,56.0,390.0,1.52,5,536392.53
05717-190,Vila Andrade,20588.33,26.0,304.0,2.16,2,535296.61
04716-010,Chácara Santo Antônio (Zona Sul),19477.78,27.0,518.0,4.17,1,525900.1
05835-002,Vila das Belezas,7152.41,73.0,585.0,3.44,2,522125.7
04583-001,Vila Cordeiro,16799.21,31.0,398.0,4.44,1,520775.49
05758-130,Jardim Catanduva,5148.09,101.0,624.0,2.73,1,519957.0
05683-050,Paineiras do Morumbi,30480.31,17.0,266.0,3.61,1,518165.29
05641-010,Vila Suzana,21478.15,24.0,292.0,0.43,5,515475.58
04724-903,Santo Amaro,14681.59,35.0,439.0,4.21,1,513855.52
05718-310,Vila Andrade,12515.86,41.0,463.0,1.98,1,513150.15
05625-160,Vila Sônia,14502.94,35.0,396.0,2.95,1,507602.98
05676-900,Cidade Jardim,38837.01,13.0,202.0,4.54,1,504881.18
05625-001,Vila Sônia,10961.32,46.0,429.0,1.67,1,504220.7
05713-570,Jardim Ampliação,16523.29,30.5,288.0,1.29,2,503960.21
05741-240,Jardim Taboão,10607.16,47.0,413.0,1.24,2,498536.34
05590-030,Vila Gomes,6141.59,81.0,905.0,4.38,1,497468.42
05687-001,Real Parque,23683.63,21.0,315.0,3.18,1,497356.29
04738-900,Santo Amaro,18412.34,27.0,370.0,4.69,1,497133.18
05687-010,Real Parque,15533.21,32.0,513.0,3.28,3,497062.84
05717-230,Vila Andrade,21088.42,23.5,279.0,1.97,4,495577.94
05613-050,Morumbi,21489.04,23.0,264.0,3.69,1,494247.93
05717-170,Vila Andrade,18968.18,26.0,325.0,2.23,3,493172.78
05622-010,Vila Sônia,17585.7,28.0,312.0,2.26,3,492399.46
05544-150,Jardim Luísa,5275.21,93.0,685.0,3.94,1,490594.38
05835-004,Vila Prel,10007.84,49.0,400.0,3.97,3,490384.36
05656-020,Fazenda Morumbi,1675.82,292.0,1141.0,1.62,1,489340.65
04721-050,Granja Julieta,15250.94,32.0,362.0,4.77,1,488030.19
04717-004,Chácara Santo Antônio (Zona Sul),15226.65,32.0,439.0,3.77,1,487252.92
05688-901,Vila Morumbi,22881.29,21.0,523.0,3.49,1,480507.07
05717-270,Vila Andrade,15458.43,31.0,357.0,2.2,5,479211.26
05767-490,Jardim Catanduva,4089.95,117.0,712.5,2.92,2,478523.85
05630-902,Vila Suzana,18390.22,26.0,353.0,0.85,1,478145.77
05661-070,Paraisópolis,1951.44,245.0,1406.0,1.06,2,478101.83
04721-020,Granja Julieta,19695.05,24.0,294.0,4.46,1,472681.16
05614-070,Jardim Leonor,22488.2,21.0,287.0,3.52,1,472252.13
05688-050,Vila Morumbi,24831.62,19.0,219.0,2.76,1,471800.82
05763-906,Chácara Nossa Senhora do Bom Conselho,7145.82,66.0,681.0,3.55,1,471624.34
05609-000,Jardim Guedala,24714.26,19.0,191.0,4.66,1,469570.99
04725-010,Vila Elvira,14209.09,33.0,345.0,4.47,1,468899.88
05835-003,Vila das Belezas,5853.14,80.0,937.0,3.4,1,468250.86
04726-001,Vila Cruzeiro,13356.44,35.0,449.0,3.65,3,467475.51
05688-025,Vila Morumbi,21145.94,22.0,366.0,3.04,1,465210.6
04570-900,Brooklin Paulista,20047.37,23.0,299.0,4.73,1,461089.5
05794-900,Jardim Paris,5008.15,92.0,605.0,4.15,1,460749.74
04571-090,Cidade Monções,22978.56,20.0,212.0,4.62,3,459571.27
05713-560,Jardim Ampliação,16386.78,28.0,428.0,1.16,1,458829.89
05547-030,Jardim Rosa Maria,6371.13,72.0,505.0,3.54,3,458721.37
05685-060,Real Parque,11702.52,39.0,493.0,3.5,1,456398.19
05542-040,Jardim Olympia,2301.95,198.0,1164.0,3.14,1,455786.03
05734-110,Vila Andrade,6801.11,66.5,557.5,1.57,2,452273.67
05706-280,Paraíso do Morumbi,13618.25,33.0,392.0,1.45,1,449402.15
05617-903,Vila Progredior,12751.99,35.0,458.0,3.37,1,446319.49
05734-040,Vila Andrade,10118.97,44.0,298.0,1.09,1,445234.53
05707-000,Parque do Morumbi,21933.32,20.0,188.0,2.58,5,438666.46
04739-000,Santo Amaro,15648.78,28.0,316.0,4.83,1,438165.93
