CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05665-060,Paraisópolis,2298.06,126.0,788.0,1.82,1,289555.22
05756-360,Jardim Umarizal,1820.36,159.0,816.0,1.71,1,289437.38
05845-290,Jardim Brasília,3357.57,86.0,673.0,3.97,1,288751.32
04709-111,Santo Amaro,16006.89,18.0,337.0,3.93,1,288124.04
05777-901,Vila Prel,6080.9,47.0,507.0,4.06,1,285802.38
05616-120,Jardim Namba,11407.83,25.0,500.0,3.58,1,285195.78
05541-300,Jardim das Vertentes,4753.15,60.0,643.0,2.75,1,285188.9
05590-100,Vila Gomes,7501.57,38.0,377.0,4.46,1,285059.84
05767-330,Jardim Catanduva,3161.79,90.0,783.0,3.23,1,284561.05
04705-070,Vila Gertrudes,14965.61,19.0,214.5,4.38,2,284346.63
05661-020,Fazenda Morumbi,7467.54,38.0,441.0,1.49,7,283766.41
05590-180,Vila Gomes,6750.25,42.0,657.0,4.62,1,283510.39
05591-090,Jardim Bonfiglioli,9129.54,31.0,431.0,4.08,1,283015.61
05610-060,Jardim Guedala,25722.44,11.0,183.0,4.44,1,282946.83
05543-030,Vila Albano,3873.78,73.0,597.0,3.51,1,282785.76
05363-010,Jardim Odete,8312.96,34.0,296.5,4.59,2,282640.52
05665-030,Paraisópolis,2107.03,134.0,779.0,1.19,4,282342.27
05662-030,Paraisópolis,2121.05,133.0,827.0,1.44,1,282100.12
05735-120,Parque Reboucas,5009.51,56.0,409.0,1.89,2,280532.36
05592-080,Jardim Bonfiglioli,9328.03,30.0,389.0,4.19,1,279841.02
05630-080,Vila Suzana,13978.12,20.0,245.0,0.36,1,279562.44
05661-050,Paraisópolis,1967.94,142.0,786.5,0.97,4,279447.62
05754-010,Umarizal,3405.92,82.0,768.0,1.6,1,279285.58
05656-010,Fazenda Morumbi,1911.86,146.0,872.0,1.87,1,279131.55
05841-190,Vila das Belezas,3083.53,90.0,858.0,3.48,1,277517.39
05664-000,Paraisópolis,1904.21,145.5,783.5,1.18,4,277063.12
05654-030,Morumbi,22958.13,12.0,198.0,2.46,1,275497.58
05549-210,Jardim das Esmeraldas,3600.85,76.5,711.5,3.21,4,275464.67
04727-030,Vila Cruzeiro,5731.49,48.0,463.0,3.75,1,275111.58
05736-010,Jardim São Roque,3270.24,84.0,719.0,2.12,2,274700.0
05635-010,Jardim Monte Kemel,4541.79,60.0,526.0,1.77,1,272507.7
05846-130,Jardim Casablanca,3187.16,85.5,860.0,4.19,2,272502.09
05642-902,Vila Suzana,10893.79,25.0,266.0,0.55,1,272344.67
05366-150,Jardim Esmeralda,5556.51,49.0,574.0,4.38,1,272268.92
05517-030,Caxingui,15120.51,18.0,278.0,4.0,1,272169.17
05366-200,Jardim Ester,1687.95,161.0,906.0,4.33,1,271760.22
05736-200,Jardim São Roque,2756.35,98.0,705.0,2.09,1,270122.28
05843-230,Jardim São Luís,4501.66,60.0,608.0,4.01,1,270099.52
05745-250,Residencial Morumbi,19271.61,14.0,250.0,1.56,1,269802.59
05616-090,Vila Progredior,12837.47,21.0,295.0,3.89,3,269586.81
05785-050,Vila América,5082.89,53.0,299.0,2.93,3,269393.14
05642-904,Vila Andrade,16814.74,16.0,140.0,0.71,1,269035.91
05541-100,Jardim das Vertentes,9253.74,29.0,282.0,3.39,2,268358.59
05640-904,Jardim Londrina,14894.71,18.0,266.0,0.66,1,268104.72
05775-320,Parque Regina,3571.17,75.0,629.0,2.72,2,267837.57
05596-010,Cidade dos Bandeirantes,8113.29,33.0,381.0,4.25,2,267738.63
05528-010,Jardim Alvorada (Zona Oeste),4056.29,66.0,565.0,2.65,1,267715.19
05525-901,Jardim Jussara,6373.67,42.0,400.0,3.84,1,267694.19
05541-060,Jardim das Vertentes,8111.7,33.0,314.0,3.4,1,267686.22
05705-240,Paraíso do Morumbi,16729.49,16.0,273.0,1.86,1,267671.9
05730-160,Vila Andrade,2777.46,96.0,661.0,2.35,2,266635.91
05594-050,Jardim Bonfiglioli,8574.81,31.0,453.0,3.92,1,265819.18
05618-100,Vila Inah,11527.44,23.0,362.0,3.13,1,265131.19
05845-240,Jardim Brasília,4272.82,62.0,565.0,4.34,1,264914.75
04571-150,Cidade Monções,12033.62,22.0,339.0,4.67,1,264739.68
05642-010,Vila Andrade,13210.12,20.0,221.0,0.86,3,264202.32
05777-001,Vila Prel,5501.1,48.0,360.0,2.13,7,264052.96
05665-020,Paraisópolis,1699.48,154.5,857.0,1.0,4,262570.33
05742-080,Jardim Taboão,8058.08,32.5,299.5,1.39,2,261887.69
05728-020,Vila Andrade,5444.79,48.0,371.0,1.85,1,261349.7
05784-040,Parque Esmeralda,4511.81,57.5,452.0,2.4,2,259429.14
05664-010,Paraisópolis,1928.19,134.5,825.5,0.99,2,259341.0
05374-060,Jardim Ester Yolanda,5516.66,47.0,410.0,4.5,1,259283.07
05531-000,Instituto de Previdência,8618.25,30.0,438.0,4.21,1,258547.56
05651-020,Morumbi,15196.25,17.0,251.0,3.15,1,258336.32
05563-110,Jardim Raposo Tavares,2901.43,89.0,843.0,4.31,1,258227.21
05657-090,Jardim Vitória Régia,12886.45,20.0,250.0,2.24,1,257729.01
04565-001,Cidade Monções,12867.4,20.0,159.0,4.85,3,257348.09
05624-020,Vila Morse,5982.52,43.0,573.0,2.61,1,257248.31
04727-150,Vila Cruzeiro,5037.52,51.0,640.0,3.96,1,256913.57
05617-000,Vila Progredior,12213.1,21.0,272.0,3.25,1,256475.04
04717-003,Chácara Santo Antônio (Zona Sul),12821.7,20.0,429.0,3.87,1,256434.02
05724-020,Vila Andrade,15060.74,17.0,253.0,0.63,1,256032.55
05760-120,Jardim Faria Lima,2896.37,88.0,845.0,3.3,1,254880.6
05549-300,Jardim das Esmeraldas,2831.82,90.0,651.5,3.39,2,254864.09
04701-000,Santo Amaro,12599.31,20.0,448.0,5.0,1,251986.12
05767-470,Jardim Catanduva,3842.12,65.5,498.0,2.82,2,251658.8
05755-090,,5335.06,47.0,371.0,1.84,3,250747.84
05546-000,Jardim Cláudia,3481.91,72.0,583.0,4.45,1,250697.46
05639-100,Lar São Paulo,10019.23,25.0,273.0,0.88,1,250480.81
05542-170,Jardim Olympia,9992.92,25.0,364.0,3.36,1,249823.03
05767-300,Jardim Catanduva,3669.83,68.0,589.0,3.04,1,249548.28
05652-100,Jardim Leonor,17736.3,14.0,264.0,3.04,1,248308.14
05706-340,Paraíso do Morumbi,1714.0,144.0,800.0,1.37,1,246815.55
05525-900,Jardim Jussara,8327.36,29.5,327.0,1.63,2,245657.1
05743-200,Jardim Nadir,3770.1,65.0,634.0,1.8,1,245056.81
05528-290,Jardim Dracena,5325.73,46.0,453.0,3.45,1,244983.49
05525-080,Jardim Jussara,3761.99,65.0,504.0,2.72,11,244529.03
05618-010,Vila Inah,11593.36,21.0,362.0,3.31,1,243460.53
04705-050,Vila Gertrudes,10558.35,23.0,325.0,4.5,1,242842.09
05841-080,Vila das Belezas,3972.03,61.0,605.0,3.36,1,242294.04
05541-030,Jardim das Vertentes,9478.2,25.5,305.0,3.22,10,241694.14
05527-040,Jardim Celeste,1675.26,144.0,818.0,2.86,1,241237.18
05368-050,Vila Tiradentes,2771.35,87.0,688.0,4.43,1,241107.73
05528-120,Jardim Alvorada (Zona Oeste),6165.34,39.0,364.0,3.18,1,240448.41
05845-250,Jardim Brasília,3534.6,68.0,613.0,4.24,1,240352.82
05551-250,Jardim Raposo Tavares,6008.13,40.0,573.0,4.2,1,240325.01
05843-140,Jardim São Luís,3039.52,79.0,756.0,4.02,1,240122.17
05514-031,Instituto de Previdência,10905.13,22.0,286.0,4.6,1,239912.83
04750-001,Santo Amaro,7485.32,32.0,260.0,4.9,1,239530.37
05843-340,Jardim São Luís,2542.85,94.0,786.0,3.76,2,239027.71
05542-020,Jardim Olympia,5551.43,43.0,398.0,3.29,1,238711.35
04707-070,Jardim das Acácias,9946.26,24.0,477.0,4.97,1,238710.23
05778-240,Parque Arariba,2804.69,85.0,786.5,3.14,2,238398.84
05709-050,Vila Suzana,18284.53,13.0,334.0,0.47,1,237698.86
04583-030,Vila Cordeiro,8751.85,27.0,344.5,4.68,2,236299.82
05765-220,Jardim Olinda,2018.45,117.0,789.5,2.43,2,236158.55
05528-150,Jardim Alvorada (Zona Oeste),6936.1,34.0,341.0,3.12,1,235827.35
05758-060,Jardim Pirajussara,3865.29,61.0,649.0,2.96,1,235782.59
05849-330,Jardim Germânia,4363.3,54.0,514.0,4.16,1,235618.27
05596-140,Jardim Pinheiros,5349.59,44.0,357.0,3.69,1,235381.98
04721-060,Granja Julieta,15686.66,15.0,253.0,4.68,1,235299.83
05663-010,Paraisópolis,2132.42,110.0,758.5,1.34,8,234566.06
05516-000,Caxingui,9372.61,25.0,299.5,4.36,2,234315.28
05529-060,Jardim Jaqueline,7321.18,32.0,361.0,2.63,3,234277.61
05543-115,Vila Albano,1760.64,133.0,755.5,3.23,2,234165.33
05752-540,Jardim Maria Duarte,4457.85,52.5,497.5,1.4,2,234037.1
05728-050,Vila Andrade,3787.58,61.5,414.5,1.71,6,232936.17
04719-020,Chácara Santo Antônio (Zona Sul),11355.24,20.5,345.5,3.54,2,232782.38
04705-030,Vila Gertrudes,11633.47,20.0,294.0,4.53,1,232669.44
05373-080,Jardim Ester,3184.12,73.0,649.0,4.08,1,232440.44
05540-020,Conjunto Residencial Butantã,5401.02,43.0,425.0,4.48,1,232243.97
05563-100,Jardim Raposo Tavares,3131.17,74.0,634.0,4.35,1,231706.61
05843-300,Jardim São Luís,4499.11,51.5,540.5,3.71,2,231703.97
05724-002,Vila Andrade,14442.58,16.0,196.5,1.03,4,231081.22
05755-140,Jardim Umarizal,4359.1,53.0,614.0,1.84,1,231032.14
05758-160,Jardim Catanduva,3437.01,67.0,778.0,3.07,1,230279.96
05519-130,Jardim Trussardi,6577.71,35.0,320.0,3.47,1,230219.97
05640-003,Jardim Londrina,16324.74,14.0,197.0,0.4,4,228546.29
04707-903,Jardim das Acácias,12028.04,19.0,437.0,5.03,1,228532.82
05774-300,Parque Regina,2398.48,95.0,692.0,2.38,1,227856.03
05639-000,Lar São Paulo,9109.07,25.0,342.0,1.1,1,227726.73
05549-000,Jardim das Esmeraldas,5409.79,42.0,434.5,3.43,6,227211.14
04563-004,Cidade Monções,14196.22,16.0,174.0,4.93,1,227139.53
05662-070,Paraisópolis,1903.59,119.0,689.0,1.07,1,226527.23
05641-000,Vila Suzana,13711.12,16.5,271.5,0.17,2,226233.49
05593-001,Jardim Bonfiglioli,6651.9,34.0,409.0,4.28,1,226164.57
05363-030,Jardim Odete,6643.11,34.0,433.0,4.6,1,225865.72
05801-050,Jardim Mirante,2855.49,79.0,776.0,3.62,1,225584.1
05633-080,Jardim Monte Kemel,10252.85,22.0,304.0,2.05,1,225562.79
05530-080,Instituto de Previdência,9018.88,25.0,339.0,4.86,1,225471.88
05794-300,Jardim Paris,5008.53,45.0,470.0,4.22,2,225383.87
05674-010,Cidade Jardim,28164.09,8.0,204.0,4.62,1,225312.69
05812-000,Jardim São Luís,2832.91,79.5,834.5,4.43,2,225216.26
05547-100,Jardim Rosa Maria,4324.7,52.0,576.0,4.14,1,224884.46
05676-090,Cidade Jardim,28069.75,8.0,153.0,4.89,1,224557.96
05541-050,Jardim das Vertentes,7977.68,28.0,428.0,3.25,1,223374.97
05741-220,Jardim Morro Verde,7323.69,30.5,310.0,1.06,2,223372.65
05591-020,Jardim Bonfiglioli,4201.97,53.0,570.0,4.29,1,222704.46
05542-120,Jardim Olympia,9880.66,22.5,293.5,3.05,2,222314.88
04568-010,Brooklin Paulista,19314.83,11.5,227.0,4.84,2,222120.52
05801-060,Jardim Mirante,3760.98,59.0,619.0,3.29,1,221897.84
04756-100,Santo Amaro,6339.86,35.0,572.0,3.85,1,221895.25
05763-300,Jardim Piracuama,3457.31,64.0,477.0,4.04,1,221267.69
05372-050,Jardim Ester,9176.07,24.0,328.0,4.36,1,220225.7
05549-100,Jardim das Esmeraldas,3101.48,71.0,702.0,3.72,1,220204.75
05642-001,Vila Suzana,20011.03,11.0,167.0,0.49,3,220121.37
05657-010,Fazenda Morumbi,9145.53,24.0,313.0,2.21,1,219492.78
05762-070,Parque Ipê,3178.18,69.0,590.0,3.81,3,219294.34
05365-060,Vila Polopoli,4558.06,48.0,501.0,4.53,1,218786.75
04581-051,Vila Cordeiro,8735.75,25.0,378.0,4.84,1,218393.75
05544-240,Jardim Luísa,3256.05,67.0,665.0,3.64,1,218155.28
05843-330,Jardim São Luís,2658.69,82.0,639.0,3.83,1,218012.95
05766-280,Jardim Olinda,3018.48,72.0,590.5,2.42,2,217330.34
05663-000,Paraisópolis,1854.85,117.0,894.0,1.17,5,217017.35
05363-902,Vila Polopoli,12033.14,18.0,245.0,4.5,3,216596.46
05527-060,Jardim Celeste,4005.14,54.0,543.0,2.46,1,216277.33
05846-390,Jardim Casablanca,6535.68,33.0,187.0,4.03,1,215677.54
05537-110,Jardim Peri Peri,5824.08,37.0,393.0,3.47,1,215490.81
05723-330,Jardim Santo Antônio,2594.96,83.0,737.0,2.96,1,215381.81
05525-090,Jardim Jussara,1582.71,136.0,617.0,2.85,1,215248.29
05544-200,Jardim Guarau,2827.62,76.0,683.0,3.73,1,214899.48
05749-300,Jardim das Palmas,3330.58,64.5,502.5,0.95,4,214822.48
05541-000,Jardim das Vertentes,9961.36,21.5,275.0,3.35,8,214169.14
05761-190,Jardim Maria Virginia,3494.06,61.0,539.0,3.57,1,213137.65
05366-190,Jardim Ester,3277.86,65.0,625.0,4.2,1,213060.6
05761-240,Jardim Maria Virginia,3214.67,66.0,643.0,3.45,1,212167.91
05665-040,Paraisópolis,2139.11,99.0,547.0,0.97,1,211771.51
05836-160,Jardim Monte Azul,3585.92,59.0,554.0,3.56,1,211569.1
05642-900,Vila Suzana,8450.27,25.0,254.0,0.58,1,211256.72
05603-001,Jardim Guedala,30173.86,7.0,205.0,5.02,1,211216.99
05785-030,Jardim Campo Limpo,3098.47,68.0,671.0,3.26,1,210696.12
05788-420,Jardim Campo Limpo,3187.67,66.0,540.0,3.74,3,210386.41
05529-030,Jardim Jaqueline,2731.63,77.0,594.0,2.86,1,210335.72
05538-010,Jardim Peri Peri,6659.17,31.5,291.5,3.27,2,209763.85
05642-907,Vila Suzana,19064.23,11.0,226.0,0.74,1,209706.57
05625-030,Vila Sônia,12315.33,17.0,247.0,1.94,1,209360.54
05587-150,Jardim Rizzo,8690.69,24.0,405.0,4.86,1,208576.65
05750-330,Vila Suzana,6719.73,31.0,355.0,0.56,1,208311.7
05547-080,Jardim Rosa Maria,4626.05,45.0,481.0,4.32,1,208172.35
05373-100,Jardim Ester,2102.13,99.0,583.0,4.23,1,208111.33
04717-010,Chácara Santo Antônio (Zona Sul),9874.11,21.0,431.0,4.1,1,207356.24
05767-360,Jardim Catanduva,3188.85,65.0,774.0,3.03,1,207275.32
05641-060,Vila Suzana,14803.27,14.0,238.0,0.26,2,207245.72
05778-140,Parque Arariba,2653.25,78.0,710.0,3.38,1,206953.85
05672-000,Cidade Jardim,29498.09,7.0,190.0,5.24,1,206486.61
04750-060,Santo Amaro,8763.29,23.5,323.5,4.75,2,205937.2
05662-080,Jardim Morumbi,12079.52,17.0,222.0,1.91,1,205351.86
05760-020,Jardim Faria Lima,3058.82,67.0,637.5,3.15,2,204940.63
05371-060,Jardim Maria Luiza,4539.66,45.0,472.0,4.04,1,204284.62
04571-000,Cidade Monções,20414.91,10.0,196.0,4.42,1,204149.14
05615-190,Vila Progredior,10186.49,20.0,340.0,3.99,1,203729.76
05661-040,Paraisópolis,2158.67,94.0,699.0,1.43,9,202915.16
04709-110,Santo Amaro,15590.03,13.0,258.5,4.38,2,202670.44
05374-040,Jardim Ester Yolanda,2852.02,71.0,480.0,4.64,1,202493.31
05845-220,Jardim Brasília,2560.5,79.0,660.0,4.15,1,202279.22
05844-170,Jardim São Luís,3157.65,64.0,582.0,4.14,1,202089.89
05652-000,Jardim Leonor,16786.23,12.0,276.0,3.13,1,201434.73
05368-140,Vila São Domingos,2918.9,69.0,659.0,4.4,1,201404.41
05776-420,Vila Franca,2425.62,83.0,596.0,2.47,2,201326.57
05757-110,Pirajussara,5428.22,37.0,645.0,2.42,1,200844.24
05374-070,Jardim Ester Yolanda,6264.19,32.0,426.0,4.62,1,200454.04
05368-120,Vila Tiradentes,3078.49,65.0,476.0,4.3,1,200101.9
05527-010,Jardim Celeste,4640.2,43.0,453.0,3.17,1,199528.64
05656-000,Fazenda Morumbi,9971.05,20.0,188.0,2.02,1,199420.91
05592-000,Jardim Bonfiglioli,7664.25,26.0,388.0,4.3,1,199270.37
05843-350,Jardim São Luís,2620.48,76.0,721.0,3.96,1,199156.14
05813-070,Jardim São Luís,2427.11,82.0,699.0,4.23,1,199022.65
05604-000,Jardim Guedala,24874.9,8.0,152.0,5.13,1,198999.2
05630-907,Jardim Londrina,9248.59,21.5,332.5,0.68,2,198844.63
05660-000,Paraisópolis,1875.14,106.0,638.0,1.25,13,198765.1
05593-060,Jardim Bonfiglioli,7643.88,26.0,253.0,3.82,1,198740.94
04583-000,Vila Cordeiro,10459.43,19.0,328.0,4.81,1,198729.09
05750-350,Super Quadra Morumbi,11664.83,17.0,373.0,1.31,1,198302.11
05842-050,Jardim Casablanca,3381.34,58.5,492.0,3.84,2,197808.59
05664-015,Paraisópolis,2296.87,86.0,600.0,1.49,4,197530.62
05373-020,Jardim Ester,4202.02,47.0,376.0,4.2,1,197494.8
05596-050,Cidade dos Bandeirantes,4201.89,47.0,476.0,4.16,1,197488.83
05638-000,Jardim Londrina,9384.2,21.0,359.0,1.32,1,197068.24
05549-270,Jardim das Esmeraldas,3518.49,56.0,494.0,3.16,1,197035.33
05516-030,Caxingui,8944.68,22.0,295.5,4.56,2,196783.04
05785-020,Jardim Campo Limpo,2459.31,80.0,658.0,3.4,1,196744.55
05784-090,Parque Esmeralda,4183.81,47.0,530.0,2.6,1,196639.27
05594-001,Jardim Bonfiglioli,5167.64,38.0,548.0,3.61,1,196370.44
05772-040,Parque Regina,3702.69,53.0,471.0,3.22,2,196242.43
05528-000,Jardim Celeste,4389.47,44.5,413.5,2.55,2,195331.57
05640-900,Jardim Londrina,12199.83,16.0,195.0,0.29,2,195197.31
05773-010,Parque Regina,2951.63,66.0,548.0,2.5,2,194807.29
04571-160,Cidade Monções,12159.14,16.0,267.0,4.51,1,194546.17
05372-040,Jardim Ester,5894.66,33.0,480.0,4.43,1,194523.71
05615-140,Vila Progredior,14962.63,13.0,244.0,3.84,1,194514.22
05750-140,Super Quadra Morumbi,6695.42,29.0,388.0,1.07,1,194167.17
05539-080,Jardim Adhemar de Barros,6923.77,28.0,338.0,4.3,3,193865.69
05711-160,Jardim Taboão,7173.27,27.0,352.0,1.51,1,193678.18
05835-010,Vila Maracanã,4295.2,45.0,689.0,3.95,1,193284.11
05844-180,Jardim São Luís,3274.26,59.0,563.0,4.21,1,193181.53
05849-440,Jardim Germânia,1772.3,109.0,721.0,4.35,1,193180.84
05527-000,Jardim Celeste,4390.31,44.0,471.0,2.34,3,193173.43
05847-000,Jardim Iracema,3273.4,59.0,666.0,4.4,3,193130.43
05731-262,Jardim Bronzato,3566.96,54.0,637.0,2.77,1,192616.02
05767-001,Jardim Catanduva,2115.41,91.0,556.0,2.95,2,192501.91
05629-010,Jardim Colombo,7393.76,26.0,339.0,1.71,2,192237.65
05750-000,Super Quadra Morumbi,8716.22,22.0,206.0,0.87,1,191756.82
05615-902,Vila Progredior,11269.7,17.0,368.0,3.95,1,191584.98
05760-070,Vila Rica,3987.57,48.0,482.0,3.5,1,191403.27
05634-010,Jardim Monte Kemel,7086.64,27.0,406.0,1.41,1,191339.31
05777-170,Vila Nova das Belezas,1720.61,111.0,771.0,3.42,2,190987.63
05766-260,Jardim Olinda,2841.31,67.0,486.0,1.94,1,190367.87
05736-020,Jardim Ingá,2387.35,79.5,484.0,1.84,2,189794.35
05537-140,Jardim Peri Peri,6117.18,31.0,398.0,3.4,1,189632.59
05665-000,Paraisópolis,1963.5,96.5,576.5,1.7,4,189477.75
05836-350,Jardim Monte Azul,4618.94,41.0,451.0,3.37,3,189376.43
05520-400,Vila Sônia,5986.51,31.5,365.5,1.81,2,188575.05
05632-070,Jardim Monte Kemel,4189.1,45.0,410.0,1.57,2,188509.43
05763-450,Jardim Santa Efigênia,6729.45,28.0,270.0,3.43,3,188424.48
05529-100,Jardim Jaqueline,3079.85,61.0,527.0,2.85,1,187871.08
05735-110,Parque Reboucas,1856.69,101.0,614.0,1.72,1,187525.25
05588-001,Jardim Esmeralda,5677.15,33.0,422.0,4.05,1,187345.9
05787-000,Pirajussara,5201.98,36.0,443.0,2.24,7,187271.33
05743-230,Jardim Jamaica,4253.74,44.0,573.0,1.54,1,187164.47
05372-170,Jardim Ester,7196.61,26.0,302.0,4.23,1,187111.82
05628-080,Jardim Colombo,4451.77,42.0,398.0,1.78,1,186974.52
05519-050,Jardim Trussardi,6445.28,29.0,442.0,3.09,1,186913.15
05785-140,Jardim Campo Limpo,2632.08,71.0,570.0,3.18,2,186877.5
05752-460,Vila Analia,4849.82,38.5,527.0,1.49,2,186718.14
04709-080,Vila São Francisco (Zona Sul),8885.83,21.0,229.0,4.88,1,186602.45
05634-150,Jardim Monte Kemel,5468.98,34.0,396.0,1.42,1,185945.41
05612-060,Jardim Guedala,26535.39,7.0,250.0,4.29,1,185747.7
05653-160,Jardim Leonor,17654.42,10.5,295.0,2.71,2,185371.38
05665-130,Paraisópolis,1930.79,96.0,548.0,0.86,1,185355.88
05581-001,Butantã,10869.04,17.0,230.0,4.68,1,184773.6
05752-520,Jardim Maria Duarte,5203.52,35.5,490.0,1.67,2,184725.08
04752-030,Santo Amaro,5409.07,34.0,443.0,4.91,1,183908.48
04581-001,Vila Cordeiro,7331.15,25.0,364.0,4.86,1,183278.86
05663-020,Paraisópolis,1968.78,93.0,538.0,1.4,7,183096.39
05761-370,Jardim Maria Virginia,3810.29,48.0,398.0,3.55,1,182893.79
04718-001,Chácara Santo Antônio (Zona Sul),11419.77,16.0,352.0,4.14,1,182716.38
05774-200,Parque Regina,3204.48,57.0,487.0,2.32,1,182655.26
05758-090,Jardim Catanduva,3800.6,48.0,505.0,2.87,2,182428.92
05761-290,Jardim Maria Virginia,2872.49,63.5,513.5,3.72,2,182403.16
05778-181,Parque Arariba,2849.12,64.0,631.0,3.04,3,182343.64
05640-004,Jardim Londrina,7548.26,24.0,271.0,1.24,3,181158.24
05541-190,Jardim das Vertentes,2077.29,87.0,619.0,3.0,1,180724.28
04754-080,Santo Amaro,6446.98,28.0,339.5,4.3,2,180515.41
05723-390,Jardim Santo Antônio,2251.98,80.0,507.0,3.11,1,180158.75
04755-000,Santo Amaro,3995.01,45.0,577.0,4.42,1,179775.29
05616-130,Vila Progredior,9977.27,18.0,291.0,3.85,1,179590.88
05525-060,Jardim Jussara,4222.51,42.5,387.5,1.96,4,179456.78
05763-901,Chácara Nossa Senhora do Bom Conselho,5434.49,33.0,185.5,3.28,2,179338.13
05522-030,Ferreira,8955.13,20.0,272.0,2.59,1,179102.62
05762-250,Parque Ipê,3034.55,59.0,564.0,3.58,1,179038.72
05593-010,Jardim Bonfiglioli,12759.1,14.0,194.0,3.75,5,178627.4
04714-002,Chácara Santo Antônio (Zona Sul),5948.13,30.0,362.0,3.21,1,178444.04
04711-000,Vila São Francisco (Zona Sul),8496.16,21.0,303.0,4.17,1,178419.29
05541-120,Jardim das Vertentes,3963.59,45.0,512.0,2.65,1,178361.57
05729-080,Vila Andrade,1905.29,93.5,602.5,2.21,6,178144.97
05836-130,Jardim Monte Azul,5394.14,33.0,379.0,3.55,1,178006.58
05752-570,Jardim Maria Duarte,5562.61,32.0,346.0,1.49,1,178003.43
05836-270,Jardim Monte Azul,1850.01,96.0,682.0,3.41,1,177600.93
05544-100,Jardim Guarau,2648.72,67.0,728.0,3.95,1,177463.93
04707-061,Jardim das Acácias,17733.02,10.0,267.0,4.73,1,177330.15
05371-150,Jardim Nelly,3050.68,58.0,571.0,4.1,1,176939.35
05844-060,Jardim São Luís,3591.2,49.0,438.0,4.46,1,175968.57
05624-080,Vila Morse,7995.04,22.0,297.0,3.05,1,175890.82
05724-003,Vila Andrade,10342.01,17.0,305.0,0.72,3,175814.15
05756-340,Jardim Umarizal,4504.43,39.0,378.0,1.85,1,175672.8
05523-050,Ferreira,4179.75,42.0,466.0,2.52,1,175549.44
05535-010,Rolinópolis,8512.12,20.5,325.5,3.75,2,174498.44
05759-000,Jardim Samara,3005.99,58.0,576.0,3.12,1,174347.5
05772-080,Parque Regina,1915.82,91.0,722.0,3.02,1,174339.77
05750-300,Jardim Taboão,1935.91,90.0,579.0,0.59,1,174231.63
05624-030,Vila Morse,6221.58,28.0,341.0,2.25,1,174204.26
05784-150,Parque Esmeralda,5618.11,31.0,323.0,2.26,4,174161.43
05540-120,Conjunto Residencial Butantã,8650.5,20.0,318.0,4.5,1,173009.99
05594-020,Jardim Bonfiglioli,5061.61,34.0,405.5,3.62,2,172094.88
05785-180,Jardim Campo Limpo,3570.68,48.0,462.0,2.84,2,171392.48
05525-110,Jardim Jussara,5193.13,33.0,312.0,2.15,1,171373.43
05527-080,Jardim Celeste,4885.87,35.0,384.0,2.39,2,171005.43
05743-190,Jardim Nadir,7105.1,24.0,396.0,2.02,3,170522.35
04578-911,Brooklin Paulista,8518.39,20.0,235.0,4.46,1,170367.81
05549-290,Jardim das Esmeraldas,3614.55,47.0,487.0,3.22,1,169883.82
04713-002,Chácara Santo Antônio (Zona Sul),5660.53,30.0,447.0,3.55,3,169815.84
05363-000,Vila Polopoli,14119.56,12.0,221.0,4.56,1,169434.76
05842-020,Jardim Casablanca,2849.47,59.0,505.0,3.66,1,168118.49
04563-060,Cidade Monções,6212.94,27.0,300.0,4.59,3,167749.42
05516-005,Caxingui,9274.33,18.0,254.0,4.37,1,166937.88
05537-100,Jardim Peri Peri,5747.96,29.0,404.0,3.38,1,166690.88
05541-260,Jardim das Vertentes,4900.5,34.0,379.0,2.66,1,166617.11
05657-080,Jardim Vitória Régia,15101.74,11.0,127.0,2.04,1,166119.15
05846-270,Jardim Casablanca,7550.81,22.0,236.0,4.24,1,166117.88
05761-250,Jardim Maria Virginia,3075.14,54.0,533.0,3.59,1,166057.63
05772-060,Parque Regina,2243.16,74.0,611.0,3.14,3,165993.85
05752-440,Jardim Maria Duarte,2592.24,64.0,624.0,1.32,1,165903.09
05711-000,Jardim Vazani,8922.88,18.5,366.0,0.87,4,165073.34
05654-050,Morumbi,18324.79,9.0,233.0,2.63,1,164923.12
04564-003,Cidade Monções,9158.3,18.0,298.0,4.98,1,164849.32
05549-280,Jardim das Esmeraldas,3394.22,48.5,514.5,3.37,2,164619.47
04719-060,Chácara Santo Antônio (Zona Sul),9125.83,18.0,213.0,3.54,1,164264.91
05371-010,Jardim Maria Luiza,3714.06,44.0,459.0,3.93,1,163418.82
04728-170,Jardim Caravelas,8578.14,19.0,327.0,3.66,1,162984.64
05605-000,Jardim Guedala,27142.6,6.0,164.0,4.44,1,162855.62
05778-170,Parque Arariba,1825.33,89.0,600.0,3.58,2,162454.13
05365-140,Jardim Centenário,3769.46,43.0,364.0,4.58,1,162086.69
05762-220,Parque Ipê,2811.94,57.5,328.0,3.57,2,161686.54
05756-190,Jardim Umarizal,1774.96,91.0,534.0,1.98,1,161521.16
05529-080,Jardim Jaqueline,2050.81,78.5,507.5,2.98,2,160988.31
04583-020,Vila Cordeiro,6985.8,23.0,302.0,4.41,1,160673.36
05752-350,Jardim Maria Duarte,2508.87,64.0,561.0,1.22,1,160567.55
04710-020,Santo Amaro,10689.88,15.0,240.0,4.85,1,160348.25
