CEP,Bairro,renda_mediana_2025,mediana_criancas_0_18,populacao_mediana,distancia_mediana_km,mediana_0_4,mediana_5_9,mediana_10_14,mediana_15_19,pontos,score_trafego_2025
04583-001,Vila Cordeiro,16799.21,51.0,398.0,2.6,21.0,10.0,15.0,5.0,1,856759.68
04905-020,Jardim das Flores,3975.21,215.0,727.0,4.43,38.0,52.0,58.0,67.0,1,854670.09
04726-000,Vila Cruzeiro,7145.8,119.0,615.0,0.91,25.0,34.0,36.0,24.0,1,850350.22
04364-000,Jardim Prudência,13046.06,65.0,320.0,4.55,32.0,15.0,14.0,13.0,3,847993.9
05717-200,Vila Andrade,12447.97,68.0,424.5,2.27,13.0,22.0,13.0,20.0,2,846461.71
04561-910,Brooklin Paulista,17264.79,49.0,421.0,4.08,8.0,10.0,16.0,15.0,1,845974.7
04726-001,Vila Cruzeiro,13356.44,63.0,449.0,0.57,16.0,16.0,16.0,12.0,3,841455.92
04611-000,Brooklin Paulista,14704.04,57.0,280.0,3.84,8.0,14.0,16.0,19.0,1,838130.24
05641-070,Vila Suzana,22632.33,37.0,192.0,3.0,7.0,8.0,8.0,14.0,1,837396.17
04558-004,Brooklin Paulista,10211.12,82.0,348.0,4.46,18.0,16.0,24.0,24.0,1,837312.17
04566-062,Cidade Monções,14041.0,59.5,315.5,3.51,22.0,17.0,10.5,10.0,2,835439.5
05734-080,Vila Andrade,9578.44,87.0,390.0,3.48,30.0,19.0,20.0,7.0,5,833324.11
05756-420,Jardim Umarizal,3747.61,222.0,769.5,3.77,67.5,49.0,54.5,51.0,2,831968.4
04560-030,Brooklin Paulista,16634.07,50.0,374.0,4.28,12.0,8.0,15.0,15.0,1,831703.37
05727-240,Vila Andrade,12706.02,65.0,237.0,2.75,18.0,16.0,14.5,13.0,5,825891.07
05757-900,Jardim Ana Maria,2848.77,289.0,1050.0,4.14,59.0,69.0,75.0,86.0,1,823295.35
04722-000,Granja Julieta,13477.83,61.0,310.5,1.47,9.5,15.0,17.0,19.5,2,822147.85
05741-240,Jardim Taboão,10607.16,77.5,413.0,4.43,25.0,22.0,17.5,13.0,2,822054.6
05688-090,Vila Morumbi,17305.39,47.5,341.5,2.32,8.5,13.5,13.5,12.0,2,822005.93
05836-220,Jardim Monte Azul,7065.74,116.0,601.0,2.67,18.0,26.0,27.0,45.0,1,819625.33
04570-905,Brooklin Paulista,22751.98,36.0,282.0,4.53,9.0,4.0,8.0,15.0,1,819071.11
04710-010,Santo Amaro,15896.03,51.5,281.5,2.14,21.5,14.5,10.0,5.5,2,818645.45
05713-520,Jardim Ampliação,15629.63,52.0,334.5,1.8,12.5,14.5,16.5,15.0,6,812740.63
04671-040,Vila Sofia,13982.51,58.0,290.0,3.35,10.0,10.0,25.0,13.0,1,810985.63
04671-904,Vila Sofia,11742.78,69.0,327.0,3.67,11.0,16.0,20.0,22.0,1,810251.89
05630-010,Vila Suzana,10321.53,78.0,455.0,3.67,11.0,20.0,29.0,18.0,1,805079.38
05622-050,Jardim Leonor,13873.5,58.0,240.0,3.52,11.0,10.0,19.0,18.0,1,804663.11
04671-050,Vila Sofia,9566.35,84.0,432.0,3.36,24.0,22.0,24.0,14.0,1,803573.0
05665-080,Paraisópolis,1637.43,487.0,1295.0,2.16,98.0,140.0,133.0,116.0,1,797429.36
05819-000,Jardim Santo Antônio,4006.38,199.0,824.0,4.13,47.0,46.0,47.0,59.0,1,797270.25
04757-000,Jardim Dom Bosco,12840.31,62.0,348.0,1.9,21.0,21.0,12.5,7.5,2,796099.47
05843-220,Jardim São Luís,3821.61,208.0,839.0,3.14,46.0,47.0,50.0,65.0,1,794894.1
05725-030,Vila Andrade,14189.86,56.0,316.0,2.57,13.0,9.0,19.0,15.0,1,794631.96
04719-000,Chácara Santo Antônio (Zona Sul),10180.12,78.0,462.0,1.5,11.0,20.0,23.0,24.0,1,794049.66
04671-090,Vila Sofia,12890.94,61.5,474.0,3.35,11.5,16.0,17.0,17.0,2,792793.02
05706-280,Paraíso do Morumbi,13618.25,58.0,392.0,1.76,12.0,21.0,14.0,11.0,1,789858.32
05640-904,Jardim Londrina,14894.71,53.0,266.0,2.83,9.0,9.0,18.0,17.0,1,789419.46
04576-010,Cidade Monções,8997.34,87.5,389.5,3.58,17.0,25.5,26.5,22.0,4,787267.27
04743-030,Santo Amaro,12693.27,62.0,401.0,2.23,21.0,12.0,14.0,15.0,1,786982.44
05713-560,Jardim Ampliação,16386.78,48.0,428.0,2.07,21.0,7.0,9.0,11.0,1,786565.53
05623-000,Vila Morse,7847.35,100.0,545.0,4.11,14.0,30.0,22.0,34.0,1,784734.72
05840-020,Vila das Belezas,6373.21,123.0,584.5,3.09,29.0,26.0,31.5,36.5,2,783904.73
04664-100,Jardim Marajoara,12603.24,62.0,343.0,3.84,15.0,12.0,16.0,19.0,1,781401.16
04613-003,Campo Belo,15935.52,49.0,241.0,4.69,14.5,16.5,10.0,8.0,2,780840.37
05716-070,Vila Andrade,17273.16,45.0,311.0,2.29,7.0,16.0,12.0,10.0,1,777292.36
05777-030,Vila Nova das Belezas,5250.21,148.0,715.0,3.49,32.0,41.0,39.0,36.0,1,777031.7
05756-310,Jardim Umarizal,4086.63,190.0,656.0,4.28,31.0,53.0,64.0,42.0,1,776460.18
04671-905,Vila Sofia,8800.79,88.0,472.0,3.57,25.0,27.0,23.0,13.0,1,774469.36
05639-130,Lar São Paulo,10040.85,77.0,440.0,3.93,22.0,15.0,17.0,23.0,1,773145.75
04764-080,Socorro,9468.46,81.5,368.5,4.43,19.5,29.5,17.5,15.0,2,771679.41
04735-001,Santo Amaro,17148.42,45.0,275.0,1.95,15.0,9.0,4.0,17.0,1,771679.06
04624-050,Vila Congonhas,14030.51,55.0,371.0,4.35,13.0,14.0,17.0,11.0,1,771678.2
04606-000,Campo Belo,21432.67,36.0,275.0,3.8,16.0,14.0,7.0,8.0,3,771575.94
04739-000,Santo Amaro,15648.78,49.0,316.0,1.67,13.0,15.0,13.0,8.0,1,766790.37
04605-004,Campo Belo,14707.08,52.0,248.0,4.02,13.5,13.0,12.5,13.0,2,764768.3
04715-004,Chácara Santo Antônio (Zona Sul),10279.93,74.0,381.0,1.04,17.0,24.0,14.0,19.0,1,760714.62
04741-040,Jardim Santo Amaro,14617.48,52.0,236.0,2.82,8.0,14.0,16.0,14.0,1,760109.15
05756-220,Jardim Umarizal,4040.36,188.0,812.0,4.16,45.0,43.0,45.0,55.0,1,759588.29
05775-230,Parque Regina,3064.12,245.0,959.0,4.24,51.0,65.0,61.0,68.0,1,750710.04
05709-050,Vila Suzana,18284.53,41.0,334.0,3.27,7.0,6.0,14.0,14.0,1,749665.64
04689-030,Vila Isa,5975.58,125.0,546.0,4.43,15.0,23.0,43.0,44.0,1,746947.16
04619-000,Campo Belo,19399.48,38.5,251.5,3.66,6.5,14.0,9.0,11.5,4,746880.13
04648-000,Vila Nova Caledônia,8198.14,91.0,597.0,4.3,21.0,17.0,31.0,22.0,1,746031.09
05734-100,Vila Andrade,9681.01,77.0,345.0,3.3,26.0,19.0,16.0,16.0,1,745438.05
05652-100,Jardim Leonor,17736.3,42.0,264.0,3.75,6.0,8.0,8.0,20.0,1,744924.41
05780-320,Vila Prel,5138.36,144.0,694.0,4.05,26.0,34.0,42.0,42.0,1,739924.42
05718-310,Vila Andrade,12515.86,59.0,463.0,2.27,16.0,25.0,12.0,6.0,1,738435.57
05654-050,Morumbi,18324.79,40.0,233.0,3.01,4.0,5.0,14.0,17.0,1,732991.64
04581-060,Vila Cordeiro,8917.39,82.0,465.0,3.03,20.0,23.0,19.0,20.0,1,731225.6
05842-100,Jardim Casablanca,4680.67,156.0,716.0,3.68,29.0,45.0,42.0,40.0,1,730184.86
04601-001,Brooklin Paulista,22123.36,33.0,229.0,3.46,4.5,6.5,10.5,11.5,2,730070.91
05676-090,Cidade Jardim,28069.75,26.0,153.0,4.61,4.0,4.0,11.0,7.0,1,729813.38
05638-010,Jardim Londrina,9460.52,77.0,420.0,4.43,15.0,17.0,27.0,18.0,1,728460.36
05750-350,Super Quadra Morumbi,11664.83,62.0,373.0,4.36,7.0,10.0,29.0,16.0,1,723219.47
04559-001,Brooklin Paulista,16815.78,43.0,344.0,3.83,14.0,18.0,6.0,5.0,1,723078.69
05623-020,Vila Morse,6286.24,115.0,590.0,3.9,28.0,30.0,30.0,27.0,1,722917.33
04556-400,Brooklin Paulista,17205.94,42.0,185.0,3.78,10.0,14.0,9.0,9.0,1,722649.59
04617-005,Campo Belo,14737.62,49.0,344.0,4.58,16.0,12.0,11.0,10.0,1,722143.14
05662-020,Paraisópolis,1906.56,377.5,1106.0,2.6,95.0,94.5,85.5,102.5,2,719728.01
05686-030,Real Parque,2423.74,295.0,814.0,3.13,52.0,73.0,86.0,84.0,3,715004.6
04566-002,Cidade Monções,14273.88,50.0,231.0,3.36,10.0,13.0,9.0,18.0,1,713694.14
04364-030,Vila Santa Catarina,12047.8,59.0,369.0,4.64,14.0,15.0,16.0,14.0,1,710820.5
04745-050,Santo Amaro,11080.49,64.0,451.0,3.13,20.0,18.0,16.0,10.0,1,709151.52
05734-090,Parque Reboucas,6027.21,117.5,444.0,3.53,35.0,32.0,29.0,21.0,4,708197.36
05734-140,Parque Reboucas,9957.36,71.0,395.0,3.28,21.0,22.5,17.0,12.5,6,706972.9
05642-907,Vila Suzana,19064.23,37.0,226.0,2.54,3.0,8.0,13.0,13.0,1,705376.65
04717-003,Chácara Santo Antônio (Zona Sul),12821.7,55.0,429.0,0.93,10.0,10.0,15.0,20.0,1,705193.57
05749-290,Jardim Novo Taboão,6322.78,111.5,463.5,3.74,37.5,24.5,24.5,25.0,2,704990.18
05634-000,Jardim Monte Kemel,8389.7,84.0,406.0,4.06,16.0,25.0,20.0,23.0,1,704734.85
05630-130,Vila Suzana,14380.92,49.0,284.0,3.36,9.0,11.0,11.0,13.0,3,704664.91
05674-010,Cidade Jardim,28164.09,25.0,204.0,4.77,,8.0,6.0,11.0,1,704102.15
05712-020,Jardim Parque Morumbi,8971.07,78.0,334.0,2.08,27.0,17.0,20.0,18.0,3,699743.44
05735-090,Parque Reboucas,6271.63,111.0,503.0,3.71,36.0,27.0,29.0,19.0,1,696150.59
04560-001,Brooklin Paulista,16458.83,42.0,240.0,3.9,12.0,13.0,5.0,12.0,3,691270.9
04617-907,Campo Belo,11110.42,62.0,363.0,4.23,16.0,10.0,14.0,22.0,1,688845.95
04650-900,Vila São Paulo,7801.59,88.0,437.0,4.61,24.0,22.0,22.0,20.0,1,686539.58
04674-230,Jardim Taquaral,9648.8,71.0,425.5,4.19,14.0,19.5,21.5,16.0,2,685064.85
05656-020,Fazenda Morumbi,1675.82,408.0,1141.0,2.55,108.0,184.0,48.0,68.0,1,683736.25
05657-090,Jardim Vitória Régia,12886.45,53.0,250.0,1.29,9.0,11.0,21.0,12.0,1,682981.88
05735-030,Parque Reboucas,4586.74,148.0,607.0,3.65,37.0,47.0,29.0,32.0,3,678836.93
04558-001,Brooklin Paulista,10125.69,67.0,399.0,4.5,13.0,13.0,17.0,24.0,1,678421.14
04616-905,Campo Belo,20527.99,33.0,204.0,4.26,9.0,10.0,6.0,8.0,1,677423.61
05692-050,Vila Tramontano,17738.22,38.0,221.0,1.67,11.0,6.0,12.0,9.0,1,674052.53
04601-020,Brooklin Paulista,16377.45,41.0,257.0,3.56,9.0,7.0,13.0,12.0,1,671475.43
05723-360,Jardim Santo Antônio,1896.94,353.0,1055.0,1.89,79.0,88.0,87.0,99.0,1,669618.88
04571-090,Cidade Monções,22978.56,29.0,212.0,3.78,9.0,7.0,4.0,6.0,3,666378.34
04563-061,Cidade Monções,14465.71,46.0,248.0,3.47,18.0,12.0,9.0,7.0,1,665422.43
04635-041,Vila Alexandria,17464.84,38.0,261.0,4.46,15.0,8.0,8.0,12.0,3,663663.76
04650-020,Jardim Umuarama,8817.05,75.0,433.0,4.5,24.0,16.0,18.0,17.0,1,661278.79
04647-010,Chácara Monte Alegre,9847.86,67.0,410.0,4.09,12.0,19.0,17.0,19.0,1,659806.95
04561-050,Brooklin Paulista,15161.23,43.5,291.5,3.77,10.0,10.0,11.0,12.5,2,659513.7
05641-000,Vila Suzana,13711.12,48.0,271.5,3.13,7.5,9.0,16.0,15.5,2,658133.78
05678-070,Jardim Sílvia (Zona Oeste),18254.45,36.0,186.0,4.16,4.0,12.0,9.0,11.0,1,657160.26
05661-060,Paraisópolis,1892.44,347.0,1188.0,3.07,69.0,92.0,95.0,91.0,1,656678.21
05846-130,Jardim Casablanca,3187.16,206.0,860.0,4.04,40.5,45.0,61.5,59.0,2,656554.75
04689-170,Vila Isa,5551.08,118.0,603.0,4.56,24.0,30.0,29.0,35.0,1,655027.46
05651-020,Morumbi,15196.25,43.0,251.0,4.39,4.0,13.0,6.0,20.0,1,653438.93
04610-011,Parque Colonial,19701.01,33.0,214.0,3.97,10.0,11.0,4.0,8.0,1,650133.27
05713-510,Jardim Ampliação,15625.9,41.0,478.0,1.76,13.0,10.0,10.0,8.0,1,640662.01
04726-170,Vila Cruzeiro,8415.7,76.0,508.0,0.11,17.0,18.0,20.0,21.0,1,639593.17
05734-040,Vila Andrade,10118.97,63.0,298.0,3.44,32.0,12.0,8.0,11.0,1,637494.89
05766-310,Jardim Olinda,2839.09,224.0,800.0,4.27,52.0,51.0,63.0,58.0,1,635957.04
04753-001,Santo Amaro,4779.37,133.0,826.0,1.63,31.0,30.0,30.0,42.0,1,635655.8
05819-020,Jardim Santa Josefina,2898.52,219.0,962.0,4.13,50.0,54.0,55.0,60.0,1,634775.6
05776-430,Vila Franca,3175.53,199.5,840.5,3.5,74.0,51.5,32.0,42.0,2,633517.86
05846-410,Jardim Casablanca,5147.03,123.0,471.0,4.0,42.0,27.0,27.0,27.0,1,633084.26
04616-002,Campo Belo,24323.47,26.0,200.0,4.33,10.0,11.0,,5.0,1,632410.18
05657-010,Fazenda Morumbi,9145.53,69.0,313.0,1.77,10.0,14.0,14.0,31.0,1,631041.75
05661-020,Fazenda Morumbi,7467.54,84.0,441.0,3.15,18.0,19.0,27.0,19.0,7,627273.11
05819-080,Jardim Santa Josefina,4664.02,134.0,613.0,4.33,32.0,29.0,33.0,40.0,1,624978.28
05713-530,Jardim Ampliação,5162.46,121.0,381.5,1.69,39.0,33.5,26.0,22.5,2,624658.03
04649-040,Jardim Prudência,8795.88,71.0,479.0,4.6,10.0,20.0,16.0,25.0,1,624507.44
04583-115,Vila Cordeiro,10189.91,61.0,407.0,2.58,14.0,15.0,14.0,18.0,1,621584.31
04624-100,Vila Congonhas,12145.39,51.0,339.0,4.67,20.0,7.0,12.0,12.0,1,619414.94
05705-240,Paraíso do Morumbi,16729.49,37.0,273.0,1.34,10.0,6.0,11.0,10.0,1,618991.26
05642-020,Vila Suzana,15092.99,41.0,254.5,2.59,9.5,10.0,9.5,12.0,2,618812.65
05634-060,Jardim Monte Kemel,13588.9,45.5,241.5,4.36,12.0,9.5,9.5,14.5,2,618294.88
04583-000,Vila Cordeiro,10459.43,59.0,328.0,2.71,7.0,12.0,16.0,24.0,1,617106.13
04672-130,Jardim Bélgica,10421.9,59.0,413.0,3.32,7.0,10.0,21.0,21.0,1,614892.1
05665-010,Vila Suzana,3058.17,201.0,756.0,2.47,56.0,57.0,48.0,49.0,5,614693.04
05734-150,Vila Andrade,13601.75,45.0,297.0,2.65,13.5,12.0,9.0,13.5,6,612078.65
04618-020,Campo Belo,18514.47,33.0,202.0,3.82,4.0,9.0,11.0,9.0,1,610977.35
05618-100,Vila Inah,11527.44,53.0,362.0,4.94,6.0,17.0,15.0,15.0,1,610954.47
05612-060,Jardim Guedala,26535.39,23.0,250.0,4.87,4.0,3.0,6.0,10.0,1,610313.87
05624-020,Vila Morse,5982.52,102.0,573.0,4.43,16.0,27.0,30.0,29.0,1,610216.92
05616-011,Vila Progredior,19067.25,32.0,193.0,4.6,8.0,8.0,10.0,6.0,1,610151.94
05712-080,Jardim Parque Morumbi,11731.85,52.0,229.0,2.14,14.0,15.0,10.0,13.0,1,610056.45
05641-021,Vila Suzana,18840.95,32.0,190.0,2.84,10.0,8.0,9.0,5.0,1,602910.37
05752-001,Jardim Maria Duarte,4099.49,147.0,659.0,4.19,46.0,41.5,34.0,35.0,4,602625.54
04633-900,Jardim Aeroporto,11318.1,53.0,288.0,4.61,9.0,17.0,11.0,16.0,1,599859.25
04674-900,Jardim Taquaral,8922.61,67.0,528.0,4.41,14.0,13.0,15.0,25.0,1,597814.6
04902-015,Parque Alves de Lima,3555.78,168.0,551.0,4.37,36.0,44.0,49.0,39.0,1,597371.54
05845-290,Jardim Brasília,3357.57,177.0,673.0,3.58,48.0,38.0,41.0,50.0,1,594290.5
04616-003,Campo Belo,11600.05,51.0,435.0,4.47,16.0,12.0,12.0,11.0,1,591602.35
05846-100,Conjunto Promorar São Luis,2335.48,253.0,824.0,4.11,56.0,65.0,63.0,69.0,1,590876.26
05845-240,Jardim Brasília,4272.82,138.0,565.0,3.87,35.0,27.0,36.0,40.0,1,589648.96
05734-130,Parque Reboucas,5119.39,115.0,578.0,3.39,44.0,22.0,21.0,28.0,1,588729.55
05641-110,Vila Suzana,16801.07,35.0,185.0,2.93,9.0,10.0,9.0,7.0,1,588037.41
04707-070,Jardim das Acácias,9946.26,59.0,477.0,2.33,14.0,10.0,16.0,19.0,1,586829.3
05750-230,Super Quadra Morumbi,12753.97,46.0,293.0,3.59,14.0,9.0,14.0,9.0,1,586682.71
05656-010,Fazenda Morumbi,1911.86,306.0,872.0,2.24,68.0,78.0,73.0,87.0,1,585029.14
04662-001,Santo Amaro,10826.98,54.0,341.0,3.2,7.0,12.0,21.0,14.0,1,584657.0
05724-902,Vila Andrade,9531.41,61.0,377.0,2.23,12.0,15.0,10.0,15.0,5,581415.8
05843-230,Jardim São Luís,4501.66,129.0,608.0,3.47,30.0,30.0,40.0,29.0,1,580713.97
05713-460,Jardim Ampliação,13639.53,42.5,332.0,2.24,10.0,12.0,12.0,8.5,2,579679.93
05642-902,Vila Suzana,10893.79,53.0,266.0,2.96,6.0,19.0,17.0,11.0,1,577370.7
05635-010,Jardim Monte Kemel,4541.79,127.0,526.0,4.37,29.0,31.0,34.0,33.0,1,576807.96
05841-080,Vila das Belezas,3972.03,145.0,605.0,3.37,30.0,31.0,44.0,40.0,1,575944.85
04763-070,Socorro,4265.03,135.0,693.0,4.3,27.0,22.0,40.0,46.0,1,575779.57
05754-010,Umarizal,3405.92,169.0,768.0,4.22,39.0,43.0,40.0,47.0,1,575600.78
05835-010,Vila Maracanã,4295.2,134.0,689.0,4.19,26.0,19.0,47.0,42.0,1,575557.13
04742-040,Santo Amaro,10648.05,54.0,418.0,2.51,11.0,15.0,8.0,20.0,1,574994.64
05736-010,Jardim São Roque,3270.24,175.5,719.0,3.29,41.5,42.5,42.5,49.0,2,573926.79
05665-050,Paraisópolis,2189.49,262.0,785.0,2.49,83.0,61.0,61.0,57.0,1,573645.67
05775-320,Parque Regina,3571.17,160.5,629.0,3.88,40.5,34.5,39.0,46.5,2,573172.4
04727-030,Vila Cruzeiro,5731.49,100.0,463.0,0.85,26.0,22.0,28.0,24.0,1,573149.12
05749-330,Jardim das Palmas,3658.8,156.5,631.5,3.8,40.0,41.5,42.5,32.5,2,572601.8
05724-020,Vila Andrade,15060.74,38.0,253.0,2.72,8.0,9.0,8.0,13.0,1,572308.04
05835-004,Vila Prel,8049.84,71.0,348.5,4.22,22.0,17.5,15.0,16.5,2,571538.36
05841-190,Vila das Belezas,3083.53,185.0,858.0,3.47,36.0,54.0,45.0,50.0,1,570452.42
04742-120,Santo Amaro,8025.69,71.0,470.0,2.61,12.0,15.0,27.0,17.0,1,569824.04
04672-010,Jardim Bélgica,8376.26,68.0,391.0,3.24,13.0,14.0,21.0,20.0,1,569585.43
04763-280,Socorro,5994.3,95.0,517.0,4.22,20.0,25.0,25.0,25.0,1,569458.49
05756-280,Jardim Umarizal,2711.46,209.0,744.5,4.21,69.5,48.0,42.5,49.0,2,566695.28
05816-170,Recanto Santo Antônio,2744.31,206.0,918.0,4.46,46.0,57.0,51.0,52.0,1,565328.82
05735-050,Parque Reboucas,2655.33,212.0,760.0,3.84,48.0,60.0,45.0,45.0,3,562930.69
05675-160,Cidade Jardim,26779.89,21.0,174.0,4.33,4.0,,7.0,10.0,1,562377.64
04718-002,Chácara Santo Antônio (Zona Sul),13630.57,41.0,277.0,0.82,15.0,8.5,10.0,7.5,2,558853.4
04673-040,Vila Anhangüera,7242.28,77.0,502.0,3.81,16.0,19.0,22.0,20.0,3,557655.36
04753-130,Jardim Promissão,7148.48,78.0,560.0,2.47,24.0,23.0,16.0,15.0,1,557581.42
04753-150,Jardim Promissão,8067.32,69.0,478.0,2.56,16.0,16.0,18.0,19.0,1,556644.87
04638-000,Jardim Petrópolis,10693.6,52.0,326.0,2.43,13.0,14.0,13.0,12.0,1,556067.31
05728-030,Vila Andrade,9723.17,57.0,249.0,2.73,17.0,13.0,16.5,11.0,3,554220.76
05665-030,Paraisópolis,2107.03,263.0,779.0,2.13,61.5,72.5,66.5,62.5,4,554149.38
04603-001,Santo Amaro,12447.51,44.5,345.0,3.32,12.0,11.5,14.0,7.0,2,553914.2
04767-010,Socorro,4679.83,118.0,608.0,4.78,21.0,23.0,33.0,41.0,1,552219.82
05665-060,Paraisópolis,2298.06,240.0,788.0,2.13,49.0,77.0,53.0,61.0,1,551533.75
05729-090,Vila Andrade,10568.17,52.0,265.0,2.56,15.0,14.0,11.0,11.0,5,549544.8
05730-160,Vila Andrade,2777.46,197.5,661.0,2.98,47.5,48.5,52.0,49.5,2,548547.83
05662-030,Paraisópolis,2121.05,258.0,827.0,2.66,77.0,56.0,56.0,69.0,1,547231.82
05843-140,Jardim São Luís,3039.52,180.0,756.0,3.15,40.0,39.0,54.0,47.0,1,547113.8
05736-200,Jardim São Roque,2756.35,198.0,705.0,3.06,37.0,61.0,48.0,52.0,1,545757.25
05776-500,Vila Franca,3347.8,163.0,844.0,3.62,55.0,36.0,33.0,39.0,1,545691.75
04713-000,Alto da Boa Vista,13636.54,40.0,393.0,1.82,14.5,9.0,9.0,8.0,3,545461.69
05813-060,Jardim São Luís,3450.05,158.0,608.0,2.86,51.0,41.0,30.0,36.0,1,545108.58
04727-150,Vila Cruzeiro,5037.52,108.0,640.0,1.14,23.0,28.0,24.0,33.0,1,544052.26
05662-080,Jardim Morumbi,12079.52,45.0,222.0,2.84,8.0,9.0,11.0,17.0,1,543578.46
04729-010,Jardim Caravelas,10219.58,53.0,528.0,0.6,20.0,13.0,9.5,10.5,2,541637.67
05642-010,Vila Andrade,13210.12,41.0,221.0,2.52,11.0,7.5,12.0,9.0,3,541614.76
04744-060,Santo Amaro,6307.82,85.0,519.0,2.64,20.0,23.0,19.0,23.0,1,536165.09
05778-240,Parque Arariba,2804.69,191.0,786.5,3.95,39.0,46.0,51.5,54.5,2,535696.22
04624-033,Vila Congonhas,1778.41,301.0,597.0,4.22,69.0,90.0,75.0,67.0,1,535301.79
05638-000,Jardim Londrina,9384.2,57.0,359.0,4.43,6.0,15.0,19.0,17.0,1,534899.5
04615-001,Campo Belo,17223.09,31.0,225.0,4.32,,6.0,5.0,20.0,1,533915.92
04606-901,Campo Belo,14821.6,36.0,235.0,4.08,8.0,16.0,5.0,7.0,1,533577.43
04721-060,Granja Julieta,15686.66,34.0,253.0,1.49,9.0,6.0,9.0,10.0,1,533346.29
04616-900,Campo Belo,13306.41,40.0,243.0,4.1,7.0,9.0,13.0,11.0,1,532256.34
05664-010,Paraisópolis,1928.19,274.5,825.5,2.37,65.0,69.5,59.0,81.0,2,529287.02
04707-903,Jardim das Acácias,12028.04,44.0,437.0,2.43,5.0,14.0,7.0,18.0,1,529233.89
05765-220,Jardim Olinda,1910.58,277.0,904.0,4.56,56.0,86.0,71.0,64.0,1,529230.08
05639-000,Lar São Paulo,9109.07,58.0,342.0,4.19,7.0,18.0,10.0,23.0,1,528326.01
05654-030,Morumbi,22958.13,23.0,198.0,2.89,4.0,8.0,4.0,7.0,1,528037.02
04763-200,Socorro,4322.77,122.0,494.0,4.02,26.0,33.0,27.0,36.0,1,527378.22
04660-900,Jardim Marajoara,11445.31,46.0,347.0,4.2,11.0,12.0,9.0,14.0,3,526484.3
05642-001,Vila Suzana,20011.03,26.0,167.0,2.8,5.0,7.0,7.0,6.0,3,520286.87
05752-540,Jardim Maria Duarte,4457.85,116.5,497.5,4.09,28.0,24.5,32.0,32.0,2,519339.47
05843-340,Jardim São Luís,2542.85,204.0,786.0,2.86,43.5,50.5,44.5,65.5,2,518740.99
05755-140,Jardim Umarizal,4359.1,119.0,614.0,4.54,24.0,29.0,34.0,32.0,1,518732.55
04622-001,Brooklin Paulista,9430.08,55.0,337.0,4.13,8.0,22.0,7.0,18.0,1,518654.31
04650-010,Jardim Umuarama,7296.89,71.0,350.0,4.36,18.0,19.0,15.0,19.0,1,518078.89
05630-907,Jardim Londrina,9248.59,56.0,332.5,3.34,8.5,13.0,18.0,16.5,2,517920.9
04734-004,Santo Amaro,15195.23,34.0,299.0,2.24,8.0,16.0,10.0,,1,516637.69
04707-110,Jardim das Acácias,14952.12,34.5,245.5,2.64,15.5,8.5,6.0,7.5,2,515848.0
04648-260,Jardim Prudência,9726.15,53.0,231.0,4.16,11.0,15.0,18.0,9.0,1,515486.01
05664-000,Paraisópolis,1904.21,270.5,783.5,2.33,67.5,78.0,57.5,65.0,4,515089.85
05706-340,Paraíso do Morumbi,1714.0,300.0,800.0,1.91,76.0,68.0,82.0,74.0,1,514199.07
04701-000,Santo Amaro,13892.16,37.0,353.0,2.26,8.5,11.5,8.0,9.0,2,514009.74
04718-001,Chácara Santo Antônio (Zona Sul),11419.77,45.0,352.0,1.1,10.0,6.0,12.0,17.0,1,513889.82
05763-450,Jardim Santa Efigênia,8600.72,59.5,230.5,4.56,14.0,11.5,19.5,14.5,2,511743.13
04737-000,Santo Amaro,11900.65,43.0,246.0,2.3,6.0,12.0,15.0,10.0,1,511727.8
04685-001,Vila Sofia,8894.08,57.5,425.0,3.56,14.5,19.5,10.5,13.0,2,511409.46
05844-030,Jardim São Luís,3118.12,164.0,646.0,4.19,40.0,42.0,40.0,42.0,3,511371.49
05801-050,Jardim Mirante,2855.49,179.0,776.0,2.77,42.0,37.0,51.0,49.0,1,511133.6
04675-020,Jardim Taquaral,8804.14,58.0,404.0,3.93,8.0,14.0,15.0,21.0,1,510639.98
04563-001,Cidade Monções,12706.41,40.0,267.0,3.83,14.0,6.0,11.0,9.0,1,508256.36
04583-030,Vila Cordeiro,8751.85,58.0,344.5,2.82,12.5,14.5,12.0,19.0,2,507607.01
05713-500,Jardim Ampliação,13206.03,38.0,321.0,2.28,14.0,8.0,8.0,8.0,1,501829.04
04674-200,Jardim Itapeva,7596.24,66.0,386.0,4.2,15.0,16.0,14.0,21.0,1,501351.75
05665-020,Paraisópolis,1699.48,294.5,857.0,2.31,67.0,85.5,65.0,87.5,4,500498.13
05663-000,Paraisópolis,1854.85,269.0,894.0,2.54,58.0,59.0,66.0,86.0,5,498954.42
05661-050,Paraisópolis,1967.94,253.5,786.5,2.37,65.5,75.0,58.0,56.0,4,498873.04
04581-051,Vila Cordeiro,8735.75,57.0,378.0,2.86,15.0,10.0,17.0,15.0,1,497937.76
05663-010,Paraisópolis,2132.42,233.0,758.5,2.32,53.0,57.0,62.0,66.0,8,496853.57
05846-395,Jardim Casablanca,2052.24,242.0,874.0,4.07,54.0,62.0,60.0,66.0,1,496641.75
04635-070,Vila Alexandria,10124.38,49.0,371.0,4.25,13.5,13.5,9.5,12.5,2,496094.79
05847-450,Jardim Iracema,1874.66,264.0,824.0,4.48,63.0,73.0,67.0,61.0,1,494909.55
