CEP,Bairro,renda_mediana_2025,mediana_criancas_0_18,populacao_mediana,distancia_mediana_km,mediana_0_4,mediana_5_9,mediana_10_14,mediana_15_19,pontos,score_trafego_2025
05630-070,Vila Suzana,18732.19,85.0,456.0,3.59,12.0,20.0,24.0,29.0,1,1592236.51
05717-210,Vila Andrade,20488.5,77.0,289.0,1.72,14.0,18.0,14.0,17.0,3,1577614.41
04674-905,Jardim Itapeva,10582.57,148.0,689.0,4.33,22.0,34.0,51.0,41.0,1,1566220.66
04671-071,Vila Sofia,14361.39,109.0,593.0,3.6,19.0,29.0,31.0,30.0,1,1565391.02
05688-025,Vila Morumbi,21145.94,74.0,366.0,2.95,13.0,9.0,24.0,28.0,1,1564799.29
05727-250,Vila Andrade,18365.67,85.0,498.0,2.86,20.0,29.0,21.0,15.0,3,1561081.66
04734-000,Santo Amaro,14709.56,106.0,501.0,2.0,29.0,29.0,33.0,15.0,1,1559213.39
05847-500,Jardim Iracema,14121.24,109.0,486.5,4.21,30.5,27.0,26.5,25.0,2,1539215.56
04662-002,Santo Amaro,24691.75,62.0,307.0,3.27,18.5,19.0,15.0,15.0,3,1530888.61
05658-010,Jardim Leonor,23722.23,64.0,353.0,3.42,10.0,17.0,17.0,20.0,1,1518222.92
04602-922,Brooklin Paulista,26488.69,57.0,301.0,2.95,7.0,15.0,15.0,20.0,1,1509855.28
05641-900,Vila Suzana,14729.46,102.0,499.0,3.19,25.0,28.0,21.0,28.0,1,1502405.01
04716-010,Chácara Santo Antônio (Zona Sul),19477.78,77.0,518.0,1.01,11.0,16.0,20.0,30.0,1,1499789.17
05713-420,Jardim Ampliação,15089.29,99.0,466.0,1.97,24.0,24.0,23.0,15.0,3,1493839.67
04750-001,Santo Amaro,13677.62,109.0,404.0,1.76,28.0,29.0,28.5,23.5,2,1490860.55
04747-050,Santo Amaro,15957.83,93.0,385.0,2.88,15.0,27.0,30.0,21.0,1,1484077.86
04555-020,Brooklin Paulista,46357.3,32.0,216.0,3.21,11.0,8.0,5.0,8.0,1,1483433.58
04645-070,Chácara Monte Alegre,22457.1,66.0,452.0,3.89,14.0,11.0,14.0,27.0,1,1482168.86
05614-040,Jardim Leonor,28825.85,51.0,268.0,4.41,10.0,14.0,17.0,10.0,1,1470118.59
04738-000,Santo Amaro,15960.32,92.0,419.0,1.84,21.5,27.5,24.0,19.0,2,1468349.03
04608-010,Campo Belo,18466.56,79.0,330.0,3.97,13.5,18.5,17.0,30.0,2,1458857.91
04708-001,Santo Amaro,38180.27,38.0,286.0,1.88,8.0,12.0,9.0,9.0,1,1450850.22
04689-070,Vila Isa,11606.01,125.0,518.0,4.56,45.0,32.0,33.0,15.0,1,1450750.74
04704-902,Jardim das Acácias,18325.66,78.5,406.0,2.99,18.0,24.5,19.5,16.5,2,1438564.56
04568-002,Brooklin Paulista,13424.08,107.0,509.0,4.11,18.0,35.0,22.0,32.0,1,1436376.55
05683-050,Paineiras do Morumbi,30480.31,47.0,266.0,3.62,5.0,12.0,8.0,22.0,1,1432574.64
04610-000,Parque Colonial,20084.91,71.0,324.0,3.46,9.0,17.0,22.0,23.0,1,1426028.41
05726-100,Vila Andrade,15216.25,93.0,531.0,3.14,37.0,36.5,19.0,22.5,3,1415110.99
05658-000,Jardim Leonor,27420.03,51.0,233.0,3.7,10.0,12.0,14.0,15.0,1,1398421.78
05688-901,Vila Morumbi,22881.29,61.0,523.0,2.7,9.0,12.0,20.0,20.0,1,1395758.64
05709-010,Vila Suzana,18473.05,75.5,357.5,3.46,14.5,19.0,21.0,18.5,4,1394715.48
