CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
05705-170,Vila Andrade,19949.83,21.0,293.0,418946.43
04689-070,Campo Grande,8295.13,50.0,532.0,414756.46
04702-002,Santo Amaro,14296.23,29.0,416.0,414590.73
04734-001,Santo Amaro,17148.42,24.0,275.0,411562.17
04722-000,Santo Amaro,13695.41,30.0,350.0,410862.38
04560-002,Brooklin Novo,11557.37,35.5,424.5,410286.6
04664-010,Cidade Ademar,11084.4,37.0,380.0,410122.67
05752-590,Jardim Maria Duarte,6213.26,66.0,700.0,410075.47
04578-000,Vila Olímpia,18733.16,21.5,296.0,402762.91
04624-060,Brooklin Velho,4393.49,90.5,401.0,397611.11
05716-150,Vila Andrade,17273.16,23.0,311.0,397282.76
04745-050,Jardim Santo Amaro,13836.23,28.5,300.5,394332.56
04569-000,Brooklin Novo,14848.79,26.5,268.0,393492.93
05650-001,Morumbi,17829.53,22.0,307.5,392249.72
04603-002,Brooklin Velho,19855.95,19.5,243.0,387190.94
04795-100,Jardim Santo Amaro,10404.29,37.0,444.0,384958.59
04717-000,Granja Julieta,12023.82,32.0,343.0,384762.1
04614-013,Brooklin Velho,18076.33,21.0,276.0,379602.88
04650-180,Cidade Ademar,9238.2,41.0,477.0,378766.13
04641-000,Chácara Flora,16021.55,23.5,392.0,376506.37
04703-003,Brooklin Novo,16253.28,23.0,233.0,373825.34
05653-070,Morumbi,17284.58,21.5,323.0,371618.36
05642-000,Paraisópolis,17148.6,21.5,286.5,368694.96
05707-000,Vila Andrade,18421.83,20.0,334.0,368436.68
04736-001,Jardim Santo Amaro,16685.0,22.0,347.0,367069.94
04603-000,Santo Amaro,10960.29,33.0,377.0,361689.62
04559-001,Brooklin Novo,16772.22,21.5,253.5,360602.79
04566-060,Vila Olímpia,13270.13,27.0,352.0,358293.51
04564-002,Brooklin Novo,17893.94,20.0,267.0,357878.83
04724-000,Santo Amaro,13734.67,26.0,308.0,357101.44
04617-020,Brooklin Velho,14786.64,24.0,319.0,354879.48
05718-300,Vila Andrade,10759.45,32.5,269.5,349682.27
04363-010,Cidade Ademar,12047.8,29.0,369.0,349386.34
05724-005,Vila Andrade,9465.06,36.0,386.0,340742.28
05630-090,Ferreira,13080.4,26.0,395.0,340090.35
04675-230,Campo Grande,9637.84,35.0,506.5,337324.39
04753-060,Santo Amaro,7148.48,47.0,560.0,335978.55
04741-010,Jardim Santo Amaro,11576.74,29.0,306.5,335725.41
04568-000,Brooklin Novo,19705.71,17.0,247.0,334997.05
04625-005,Brooklin Velho,12145.39,27.0,339.0,327925.56
04615-000,Brooklin Velho,15689.83,20.5,304.5,321641.55
04617-014,Brooklin Velho,14852.49,21.5,303.5,319328.44
05670-000,Cidade Jardim,26507.01,12.0,201.0,318084.09
04621-002,Brooklin Velho,13812.6,23.0,274.0,317689.77
04671-245,Jardim Marajoara,10948.83,29.0,357.0,317516.19
04604-001,Jardim Petrópolis,12165.07,26.0,359.5,316291.88
05712-040,Vila Andrade,6512.38,48.0,406.5,312594.0
05651-001,Cidade Jardim,20618.21,15.0,234.0,309273.08
04660-000,Cidade Ademar,7832.34,39.0,371.5,305461.18
05617-140,Morumbi,19067.25,16.0,193.0,305075.97
04742-090,Jardim Santo Amaro,8466.73,36.0,497.0,304802.19
05641-000,Vila Andrade,14998.37,20.0,281.0,299967.36
04583-110,Brooklin Novo,10189.91,29.0,407.0,295507.29
05662-020,Vila Sônia,13353.61,22.0,260.5,293779.49
05846-410,Jardim São Luís,5147.03,57.0,471.0,293380.51
04623-050,Brooklin Velho,11278.53,26.0,340.0,293241.9
04566-062,Brooklin Novo,17093.82,17.0,267.0,290594.86
04607-002,Brooklin Velho,15703.45,18.5,247.5,290513.81
05617-120,Vila Sônia,15161.74,19.0,338.0,288073.0
04686-001,Campo Grande,8523.76,33.5,435.0,285546.01
04622-000,Brooklin Velho,12370.64,23.0,336.0,284524.7
04556-500,Brooklin Novo,17512.9,16.0,249.0,280206.33
04741-001,Jardim Santo Amaro,10648.05,26.0,418.0,276849.27
04617-002,Brooklin Velho,14420.81,19.0,234.0,273995.39
04660-010,Jardim Marajoara,11896.82,23.0,347.0,273626.94
04713-001,Chácara Santo Antônio,10126.08,27.0,425.0,273404.2
05724-002,Paraisópolis,11095.54,24.5,286.0,271840.64
05642-001,Vila Andrade,17964.04,15.0,238.0,269460.66
04624-050,Brooklin Velho,5254.79,50.5,355.0,265366.79
05618-080,Vila Sônia,11527.44,23.0,362.0,265131.19
05725-050,Vila Andrade,13210.12,20.0,193.0,264202.32
04770-060,Socorro,7019.16,37.5,399.5,263218.51
05657-140,Paraisópolis,21804.09,12.0,202.5,261649.08
04675-020,Jardim Marajoara,8434.72,31.0,398.5,261476.4
05640-000,Vila Andrade,17366.25,15.0,244.0,260493.68
04768-200,Socorro,6101.02,42.5,434.5,259293.18
04620-004,Brooklin Velho,8884.66,29.0,333.5,257655.1
04717-003,Chácara Santo Antônio,12821.7,20.0,429.0,256434.02
04625-014,Brooklin Velho,12168.85,21.0,293.5,255545.83
04746-000,Jardim Santo Amaro,6872.63,37.0,503.0,254287.14
04662-003,Cidade Ademar,9726.15,26.0,231.0,252879.93
05665-010,Paraisópolis,2176.25,116.0,759.0,252444.45
04719-020,Chácara Santo Antônio,11461.7,22.0,405.0,252157.41
04701-200,Santo Amaro,12599.31,20.0,448.0,251986.12
05641-010,Paraisópolis,15855.23,15.5,181.5,245756.12
04671-072,Jardim Marajoara,10223.33,24.0,348.0,245359.98
04763-280,Socorro,5384.33,45.0,494.0,242294.98
04583-050,Brooklin Novo,7091.68,34.0,360.0,241117.01
05658-070,Morumbi,8927.78,27.0,202.0,241050.07
04555-001,Brooklin Velho,18514.47,13.0,202.0,240688.05
04566-002,Brooklin Novo,11716.09,20.5,264.5,240179.82
04581-050,Brooklin Novo,9418.4,25.0,321.0,235460.03
04743-030,Jardim Santo Amaro,7103.49,33.0,401.0,234415.25
04617-012,Brooklin Velho,15616.78,15.0,203.0,234251.67
04571-110,Vila Olímpia,17340.3,13.5,215.0,234094.1
04709-110,Chácara Santo Antônio,13736.75,17.0,285.0,233524.75
05625-170,Vila Sônia,4068.86,57.0,393.0,231924.85
04724-001,Granja Julieta,6594.41,35.0,439.0,230804.52
05629-900,Vila Sônia,7556.43,30.5,362.0,230470.99
04566-061,Brooklin Novo,14395.26,16.0,307.0,230324.19
04562-002,Brooklin Novo,12341.17,18.5,255.5,228311.63
05661-050,Paraisópolis,1917.57,117.0,705.0,224355.18
04635-052,Campo Belo,9749.59,23.0,257.0,224240.48
04634-040,Campo Belo,15949.58,14.0,234.0,223294.12
04715-003,Santo Amaro,15930.94,14.0,223.0,223033.13
04568-010,Brooklin Novo,19314.83,11.5,227.0,222120.52
05521-400,Ferreira,8141.84,27.0,352.0,219829.61
04713-002,Chácara Santo Antônio,7210.57,30.0,362.0,216317.18
04742-001,Santo Amaro,11900.65,18.0,246.0,214211.64
04675-090,Campo Grande,9726.68,22.0,336.0,213987.01
04717-020,Chácara Santo Antônio,11248.78,19.0,286.0,213726.74
05749-280,Campo Limpo,2315.58,92.0,618.0,213033.24
05663-020,Paraisópolis,1972.01,108.0,637.5,212977.33
05843-310,Jardim São Luís,3531.1,60.0,608.0,211866.04
04741-000,Santo Amaro,12410.76,17.0,295.0,210982.98
05836-180,Jardim São Luís,4774.37,43.5,502.5,207685.16
05641-060,Paraisópolis,15839.21,13.0,207.5,205909.78
04662-001,Jardim Santo Amaro,10826.98,19.0,341.0,205712.65
05690-050,Vila Andrade,17766.07,11.5,209.0,204309.82
05639-100,Ferreira,10197.11,20.0,341.0,203942.28
04726-001,Granja Julieta,6898.86,29.5,363.5,203516.41
05690-080,Morumbi,18474.09,11.0,133.0,203214.95
05846-390,Jardim São Luís,2560.5,79.0,660.0,202279.22
05842-020,Jardim São Luís,3415.76,59.0,531.0,201529.98
04763-040,Socorro,5008.41,40.0,430.5,200336.37
04582-001,Brooklin Novo,10459.43,19.0,328.0,198729.09
04558-040,Vila Olímpia,7946.1,25.0,313.0,198652.49
05634-020,Ferreira,7333.46,27.0,345.0,198003.54
05755-080,Jardim Maria Duarte,5586.48,35.0,439.0,195526.83
05659-000,Vila Sônia,2041.37,95.0,701.0,193930.16
04727-001,Granja Julieta,5384.51,36.0,436.0,193842.22
04646-000,Campo Belo,9937.51,19.5,262.5,193781.45
05812-030,Jardim São Luís,2772.59,69.5,624.0,192694.94
04719-001,Granja Julieta,11991.73,16.0,291.0,191867.68
05640-001,Ferreira,9109.07,21.0,342.0,191290.45
05659-020,Paraisópolis,2063.63,92.5,597.0,190885.49
04614-012,Brooklin Velho,17225.08,11.0,197.5,189475.83
04602-002,Brooklin Velho,12585.12,15.0,229.0,188776.84
04649-030,Cidade Ademar,6279.78,30.0,360.0,188393.44
05763-470,Campo Limpo,2153.73,87.0,598.0,187374.38
05741-170,Ferreira,7204.12,26.0,353.0,187307.02
06754-050,Jardim Maria Duarte,4253.74,44.0,573.0,187164.47
04902-015,Jardim São Luís,4674.87,40.0,438.0,186994.96
05836-350,Jardim São Luís,3737.22,50.0,525.0,186860.81
05843-000,Jardim São Luís,3157.65,59.0,563.0,186301.62
04548-070,Vila Olímpia,5460.86,34.0,337.0,185669.35
04703-020,Brooklin Novo,10226.02,18.0,272.5,184068.32
04766-001,Socorro,4042.89,45.0,617.0,181930.17
05749-300,Jardim Maria Duarte,2856.08,63.5,462.5,181360.97
05847-620,Jardim São Luís,3357.57,53.0,393.0,177951.39
04707-020,Jardim Petrópolis,17733.02,10.0,267.0,177330.15
04755-060,Santo Amaro,6210.6,28.0,339.5,173896.71
04617-000,Brooklin Velho,12224.75,14.0,246.0,171146.51
05822-010,Jardim São Luís,2052.24,83.0,646.0,170335.81
04707-060,Jardim Petrópolis,11733.48,14.5,358.5,170135.42
04576-060,Brooklin Novo,6212.94,27.0,318.0,167749.42
04704-050,Brooklin Novo,11958.28,14.0,322.0,167415.93
04362-000,Campo Belo,8369.65,20.0,323.0,167393.0
04606-050,Brooklin Velho,9817.4,17.0,215.0,166895.73
05624-001,Vila Sônia,6590.43,25.0,296.5,164760.75
04719-002,Chácara Santo Antônio,9125.83,18.0,213.0,164264.91
04675-050,Campo Grande,7439.62,22.0,332.0,163671.65
04750-030,Santo Amaro,10512.93,15.5,312.0,162950.35
05425-070,Cidade Jardim,27142.6,6.0,164.0,162855.62
05801-060,Jardim São Luís,3497.27,46.0,467.0,160874.45
05767-530,Campo Limpo,2765.52,58.0,426.0,160400.19
05843-160,Jardim São Luís,2542.85,63.0,608.0,160199.42
04904-050,Jardim São Luís,3975.21,40.0,471.0,159008.39
05734-040,Jardim Maria Duarte,2216.27,71.5,463.5,158463.43
04762-001,Socorro,2915.54,54.0,427.0,157439.34
04762-000,Socorro,4459.44,35.0,297.0,156080.52
04752-005,Santo Amaro,4849.46,32.0,421.0,155182.66
04571-010,Vila Olímpia,8161.71,19.0,297.5,155072.48
05763-450,Campo Limpo,2614.5,59.0,455.0,154255.75
04747-030,Jardim Santo Amaro,5578.72,27.5,452.0,153414.78
04709-210,Chácara Santo Antônio,8496.16,18.0,332.0,152930.82
05844-000,Jardim São Luís,2460.62,62.0,565.0,152558.66
05755-090,Jardim Maria Duarte,4470.52,34.0,325.0,151997.68
05736-040,Campo Limpo,2761.28,55.0,479.0,151870.49
04696-040,Campo Grande,5840.73,26.0,347.5,151859.01
05625-050,Vila Sônia,4316.88,35.0,383.0,151090.86
04768-000,Socorro,5185.11,29.0,309.0,150368.1
05841-160,Jardim São Luís,3292.45,45.0,408.0,148160.45
04583-100,Brooklin Novo,3393.45,43.0,398.0,145918.25
05820-200,Jardim São Luís,2913.0,50.0,509.0,145650.12
05709-020,Vila Andrade,5314.42,27.0,355.0,143489.36
05755-150,Jardim Maria Duarte,3457.41,41.0,436.0,141753.88
04633-050,Brooklin Velho,7864.23,18.0,266.0,141556.1
05711-001,Ferreira,5055.46,28.0,510.0,141552.83
04726-220,Granja Julieta,11320.54,12.5,273.5,141506.77
05750-000,Ferreira,4873.44,29.0,369.0,141329.81
05776-340,Campo Limpo,2490.08,54.0,424.5,134464.42
05804-900,Jardim São Luís,3508.29,38.0,402.0,133315.0
05818-270,Jardim São Luís,2149.7,62.0,429.0,133281.25
04715-000,Chácara Santo Antônio,11762.61,11.0,205.0,129388.74
05766-290,Campo Limpo,2751.16,46.0,349.0,126553.53
04614-010,Campo Belo,11503.55,11.0,211.0,126539.0
04709-020,Jardim Petrópolis,8727.87,14.0,280.0,122190.22
04753-160,Socorro,3784.2,32.0,422.0,121094.27
04709-011,Jardim Petrópolis,8873.1,13.5,299.5,119786.89
05819-080,Jardim São Luís,2431.4,49.0,447.0,119138.7
05814-190,Jardim São Luís,2152.1,55.0,375.0,118365.5
04616-004,Brooklin Velho,9102.35,13.0,240.0,118330.51
