CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
05630-090,Ferreira,13080.4,26.0,395.0,340090.35
05767-490,Campo Limpo,3005.99,113.0,704.0,339677.03
05615-040,Morumbi,12130.41,28.0,452.0,339651.5
05514-050,Caxingui,8861.96,38.0,449.0,336754.36
04568-000,Brooklin Novo,19705.71,17.0,247.0,334997.05
05516-000,Caxingui,9420.45,35.0,388.0,329715.6
05365-040,Rio Pequeno,9976.2,33.0,373.0,329214.69
05712-040,Vila Andrade,6512.38,49.5,406.5,322362.57
06768-000,Chácara Marapuí,5966.18,54.0,498.0,322173.48
05650-905,Morumbi,18324.79,17.0,266.0,311521.45
05651-001,Cidade Jardim,20618.21,15.0,234.0,309273.08
05590-020,Caxingui,8772.34,35.0,417.0,307031.92
05724-005,Vila Andrade,9001.74,34.0,381.5,306058.99
05617-140,Morumbi,19067.25,16.0,193.0,305075.97
05752-590,Jardim Maria Duarte,6071.26,50.0,371.0,303562.88
05641-000,Vila Andrade,14998.37,20.0,281.0,299967.36
05513-300,Butantã,14972.68,20.0,436.0,299453.62
05595-010,Butantã,4615.37,64.5,570.0,297691.27
06760-900,Jardim Pedro Gonçalves,5080.47,58.0,445.0,294667.24
05662-020,Vila Sônia,13353.61,22.0,260.5,293779.49
05846-410,Jardim São Luís,5147.03,57.0,471.0,293380.51
05784-120,Jardim Maria Duarte,4768.05,61.5,639.5,293234.95
05617-120,Vila Sônia,15161.74,19.0,338.0,288073.0
06753-000,Parque Assunção,3387.92,84.5,464.5,286279.33
05590-100,Butantã,7501.57,38.0,377.0,285059.84
05590-120,Butantã,10153.25,28.0,398.0,284290.91
05590-180,Butantã,6750.25,42.0,657.0,283510.39
05591-100,Butantã,9129.54,31.0,431.0,283015.61
05592-080,Butantã,9328.03,30.0,389.0,279841.02
04713-001,Chácara Santo Antônio,10126.08,27.0,425.0,273404.2
05517-030,Caxingui,15120.51,18.0,278.0,272169.17
06757-125,Cidade Intercap,5914.7,46.0,453.0,272076.07
05513-100,Cidade Jardim,24714.26,11.0,183.0,271856.89
05724-002,Paraisópolis,11095.54,24.5,286.0,271840.64
05590-190,Butantã,10382.17,26.0,388.0,269936.37
05642-001,Vila Andrade,17964.04,15.0,238.0,269460.66
05541-100,Vila Sônia,9253.74,29.0,282.0,268358.59
05596-010,Butantã,8113.29,33.0,381.0,267738.63
05528-040,Vila Sônia,4056.29,66.0,501.0,267715.19
05594-050,Butantã,8574.81,31.0,453.0,265819.18
05618-080,Vila Sônia,11527.44,23.0,362.0,265131.19
06764-390,Parque Albina,5082.89,52.0,483.0,264310.25
05725-050,Vila Andrade,13210.12,20.0,193.0,264202.32
05657-140,Paraisópolis,21804.09,12.0,202.5,261649.08
05594-010,Vila Sônia,7913.25,33.0,314.0,261137.3
05640-000,Vila Andrade,17366.25,15.0,244.0,260493.68
05589-020,Butantã,8399.36,31.0,341.0,260380.05
05531-000,Caxingui,8618.25,30.0,438.0,258547.56
06757-260,Cidade Intercap,2901.43,89.0,843.0,258227.21
06768-200,Jardim Pedro Gonçalves,6074.94,42.5,333.5,258184.79
06753-010,Centro,5836.87,44.0,377.5,256822.17
04717-003,Chácara Santo Antônio,12821.7,20.0,429.0,256434.02
05617-040,Morumbi,11122.33,23.0,340.0,255813.64
05760-140,Campo Limpo,2896.37,88.0,845.0,254880.6
05665-010,Paraisópolis,2176.25,116.0,759.0,252444.45
04719-020,Chácara Santo Antônio,11461.7,22.0,405.0,252157.41
04701-200,Santo Amaro,12599.31,20.0,448.0,251986.12
04583-100,Brooklin Novo,6791.68,37.0,402.5,251292.06
05593-060,Butantã,8330.13,30.0,333.5,249903.77
05533-000,Caxingui,9981.05,25.0,332.5,249526.34
05541-030,Vila Sônia,9585.04,26.0,388.0,249211.16
06755-020,Parque Assunção,3889.68,64.0,573.0,248939.28
06757-020,Cidade Intercap,3568.26,69.0,609.0,246209.73
05641-010,Paraisópolis,15855.23,15.5,181.5,245756.12
06755-390,Jardim Monte Alegre,5576.58,44.0,453.5,245369.38
05618-000,Vila Sônia,11593.36,21.0,362.0,243460.53
04562-002,Brooklin Novo,13101.25,18.5,255.5,242373.16
04583-050,Brooklin Novo,7091.68,34.0,360.0,241117.01
06753-170,Centro,4636.54,52.0,457.0,241100.06
05658-070,Morumbi,8927.78,27.0,202.0,241050.07
04750-030,Santo Amaro,10932.16,22.0,302.0,240507.43
04566-002,Brooklin Novo,11716.09,20.5,264.5,240179.82
05514-031,Caxingui,10905.13,22.0,286.0,239912.83
04750-001,Santo Amaro,7485.32,32.0,260.0,239530.37
04707-060,Jardim Petrópolis,10987.15,21.5,457.0,236223.75
05514-030,Caxingui,11170.46,21.0,333.0,234579.56
04571-110,Vila Olímpia,17340.3,13.5,215.0,234094.1
04709-110,Chácara Santo Antônio,13736.75,17.0,285.0,233524.75
05787-000,Jardim Maria Duarte,6845.44,34.0,294.0,232745.04
05593-090,Caxingui,8934.93,26.0,321.0,232308.18
05625-170,Vila Sônia,4068.86,57.0,393.0,231924.85
05615-000,Morumbi,12873.68,18.0,368.5,231726.17
06757-250,Cidade Intercap,3131.17,74.0,634.0,231706.61
06764-160,Parque Assunção,5139.2,45.0,406.0,231263.8
04724-001,Granja Julieta,6594.41,35.0,439.0,230804.52
05629-900,Vila Sônia,7556.43,30.5,362.0,230470.99
04581-050,Brooklin Novo,8826.57,26.0,371.0,229490.76
05588-001,Butantã,7207.94,31.5,464.5,227050.08
05593-001,Butantã,6651.9,34.0,409.0,226164.57
05530-000,Caxingui,9018.88,25.0,339.0,225471.88
05547-100,Jardim Guaraú,4324.7,52.0,576.0,224884.46
05661-050,Paraisópolis,1917.57,117.0,705.0,224355.18
05591-020,Butantã,4201.97,53.0,570.0,222704.46
06765-165,Campo Limpo,3271.27,68.0,658.0,222446.49
04568-010,Brooklin Novo,19314.83,11.5,227.0,222120.52
05801-060,Jardim São Luís,3760.98,59.0,613.0,221897.84
05540-020,Caxingui,7025.76,31.5,371.5,221311.47
05525-060,Parque Assunção,3349.08,65.0,504.0,217690.47
06757-030,Cidade Intercap,3195.35,68.0,570.0,217284.05
04713-002,Chácara Santo Antônio,7210.57,30.0,362.0,216317.18
05670-000,Cidade Jardim,28831.09,7.5,194.0,216233.15
05615-190,Morumbi,10724.8,20.0,340.0,214495.97
06750-300,Parque Marabá,3015.13,71.0,615.0,214074.05
04717-020,Chácara Santo Antônio,11248.78,19.0,286.0,213726.74
05749-280,Campo Limpo,2315.58,92.0,618.0,213033.24
05663-020,Paraisópolis,1972.01,108.0,637.5,212977.33
05843-310,Jardim São Luís,3531.1,60.0,608.0,211866.04
05587-180,Butantã,8690.69,24.0,405.0,208576.65
06765-000,Jardim Helena,4950.1,42.0,445.5,207904.16
05836-180,Jardim São Luís,4774.37,43.5,502.5,207685.16
04726-001,Granja Julieta,7145.8,29.0,349.0,207228.21
05641-060,Paraisópolis,15839.21,13.0,207.5,205909.78
05690-050,Vila Andrade,17766.07,11.5,209.0,204309.82
05639-100,Ferreira,10197.11,20.0,341.0,203942.28
04582-001,Brooklin Novo,10435.72,19.5,328.5,203496.53
05690-080,Morumbi,18474.09,11.0,133.0,203214.95
05846-390,Jardim São Luís,2560.5,79.0,660.0,202279.22
06757-240,Cidade Intercap,3109.81,65.0,561.0,202137.94
05842-020,Jardim São Luís,3415.76,59.0,531.0,201529.98
05589-080,Butantã,7664.25,26.0,388.0,199270.37
05844-000,Jardim São Luís,3586.03,55.5,561.0,199024.8
05596-060,Butantã,4201.89,47.0,476.0,197488.83
06765-100,Parque Marabá,2553.68,77.0,619.0,196633.51
05594-001,Butantã,5167.64,38.0,548.0,196370.44
05537-000,Vila Sônia,7272.4,27.0,309.0,196354.79
05365-150,Butantã,4880.99,40.0,452.5,195239.58
06757-160,Cidade Intercap,3249.04,60.0,487.0,194942.29
05615-140,Morumbi,14962.63,13.0,244.0,194514.22
05541-000,Vila Sônia,8434.38,23.0,309.0,193990.65
05659-000,Vila Sônia,2041.37,95.0,701.0,193930.16
04727-001,Granja Julieta,5384.51,36.0,436.0,193842.22
05847-000,Jardim São Luís,3273.4,59.0,666.0,193130.43
05659-020,Paraisópolis,2063.63,93.0,597.0,191917.31
06753-150,Centro,3761.99,51.0,444.0,191861.24
05615-010,Morumbi,11269.7,17.0,368.0,191584.98
05640-001,Ferreira,9109.07,21.0,342.0,191290.45
06753-220,Parque Assunção,3979.19,48.0,458.0,191001.33
05564-000,Rio Pequeno,3277.86,58.0,571.0,190115.61
05741-170,Ferreira,7204.12,26.0,353.0,187307.02
05376-140,Parque dos Príncipes,7196.61,26.0,328.0,187111.82
05836-350,Jardim São Luís,3737.22,50.0,525.0,186860.81
05576-100,Cidade Intercap,4907.85,38.0,421.0,186498.27
05843-000,Jardim São Luís,3157.65,59.0,563.0,186301.62
05545-080,Jardim Dracena,6008.13,31.0,300.0,186251.88
04703-020,Brooklin Novo,10226.02,18.0,272.5,184068.32
06754-090,Centro,6227.9,29.5,374.0,183723.18
05767-330,Campo Limpo,2382.64,77.0,721.0,183463.12
05749-300,Vila Andrade,2864.94,64.0,471.0,183356.34
05767-530,Campo Limpo,2977.19,61.5,600.0,183096.92
05425-070,Cidade Jardim,26008.75,7.0,158.0,182061.26
05812-030,Jardim São Luís,2714.68,67.0,608.0,181883.38
06766-220,Parque Marabá,2580.97,70.0,600.0,180668.22
05757-200,Jardim Maria Duarte,3423.0,52.5,509.0,179707.42
05616-906,Morumbi,9977.27,18.0,291.0,179590.88
05634-020,Ferreira,7308.09,24.5,339.5,179048.19
05593-010,Butantã,13209.41,13.5,186.0,178326.98
05847-620,Jardim São Luís,3357.57,53.0,393.0,177951.39
05513-400,Vila Sônia,7096.29,25.0,340.0,177407.28
04707-020,Jardim Petrópolis,17733.02,10.0,267.0,177330.15
05785-180,Jardim Maria Duarte,3336.43,53.0,400.0,176830.55
05596-150,Butantã,6669.18,26.5,371.5,176733.37
05521-100,Vila Sônia,5865.73,30.0,428.0,175971.76
04795-100,Santo Amaro,9728.08,18.0,189.0,175105.44
05616-110,Morumbi,12479.46,14.0,310.0,174712.48
05788-390,Campo Limpo,4055.68,43.0,490.5,174394.18
04755-060,Santo Amaro,6210.6,28.0,339.5,173896.71
05755-090,Jardim Maria Duarte,4820.57,36.0,382.0,173540.37
05594-020,Butantã,5061.61,34.0,405.5,172094.88
06763-220,Jardim Bontempo,7148.08,24.0,311.0,171553.81
06764-310,Parque Albina,3491.37,49.0,519.0,171077.06
05607-000,Cidade Jardim,26056.57,6.5,190.0,169367.74
05520-200,Vila Sônia,5836.73,29.0,304.0,169265.31
