id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,CEP,Bairro,Cidade,UF,Logradouro
447258,2022,-23.5985304250261,-46.6988958497058,5,kilometer,266,"36209,01",15.0,17.0,18.0,14.0,64.0,05676-120,Cidade Jardim,São Paulo,São Paulo,Rua Armando Petrella
455397,2022,-23.6285433941786,-46.7220856856216,5,kilometer,259,"31514,77",6.0,15.0,16.0,27.0,64.0,05705-170,Vila Andrade,São Paulo,São Paulo,Rua Domênico Perotti
455416,2022,-23.6364453635479,-46.731411544789296,5,kilometer,279,"34796,51",,9.0,25.0,29.0,63.0,05707-001,Vila Andrade,São Paulo,São Paulo,
455623,2022,-23.6302572149537,-46.7196506431946,5,kilometer,267,"29036,36",12.0,11.0,26.0,13.0,62.0,05707-400,Vila Andrade,São Paulo,São Paulo,Rua Maria Antônia Ladalardo
447259,2022,-23.5983063468912,-46.697861609769,5,kilometer,285,"39025,42",14.0,19.0,17.0,10.0,60.0,05676-120,Cidade Jardim,São Paulo,São Paulo,Marginal Pinheiros (Local)
455420,2022,-23.6383632983486,-46.729196120124,5,kilometer,270,"23830,74",9.0,13.0,25.0,12.0,59.0,05707-001,Vila Andrade,São Paulo,São Paulo,
441585,2022,-23.611009309343,-46.693847514023695,5,kilometer,184,"36884,35",14.0,17.0,17.0,10.0,58.0,04567-110,Brooklin Novo,São Paulo,São Paulo,Rua Arandu
447260,2022,-23.5993342301657,-46.69787882467031,5,kilometer,202,"33625,12",5.0,8.0,23.0,19.0,55.0,05676-120,Cidade Jardim,São Paulo,São Paulo,Marginal Pinheiros (Local)
455622,2022,-23.6301115129524,-46.7212902639424,5,kilometer,299,"38322,45",20.0,6.0,14.0,14.0,54.0,05707-400,Vila Andrade,São Paulo,São Paulo,Avenida Carlos Queiroz Telles
441426,2022,-23.6029816639678,-46.6942273229008,5,kilometer,225,"24095,04",23.0,12.0,13.0,5.0,53.0,04571-110,Vila Olímpia,São Paulo,São Paulo,Rua Sansão Alves dos Santos
447222,2022,-23.5941266488141,-46.7105520198285,5,kilometer,268,"24957,45",10.0,14.0,17.0,10.0,51.0,05651-001,Cidade Jardim,São Paulo,São Paulo,Rua Radiantes
458252,2022,-23.5868724313653,-46.7401121750863,5,kilometer,279,"36298,9",9.0,9.0,9.0,23.0,50.0,05541-030,Vila Sônia,São Paulo,São Paulo,Rua Trajano Reis
455396,2022,-23.6293114386284,-46.72206624869391,5,kilometer,236,"27635,47",8.0,12.0,14.0,16.0,50.0,05707-400,Vila Andrade,São Paulo,São Paulo,Avenida Carlos Queiroz Telles
447314,2022,-23.6016204341445,-46.706807511117695,5,kilometer,266,"26389,88",5.0,12.0,8.0,22.0,47.0,05650-905,Cidade Jardim,São Paulo,São Paulo,Rua Pascoal Leite
455418,2022,-23.6379658713797,-46.7309309157845,5,kilometer,152,"29725,76",,10.0,11.0,23.0,44.0,05707-001,Vila Andrade,São Paulo,São Paulo,
447246,2022,-23.6059248353401,-46.707267218795295,5,kilometer,269,"26464,02",3.0,9.0,14.0,17.0,43.0,05684-000,Morumbi,São Paulo,São Paulo,Rua Barão de Santa Eulália
455429,2022,-23.6248231679775,-46.7317662967372,5,kilometer,201,"73198,95",6.0,8.0,12.0,12.0,38.0,05712-070,Vila Andrade,São Paulo,São Paulo,Rua Ascencional
452257,2022,-23.6296592440474,-46.6953380427808,5,kilometer,286,"33056,51",8.0,12.0,9.0,9.0,38.0,04710-000,Chácara Santo Antônio,São Paulo,São Paulo,Rua Doutor Plínio Ovídio Perosa
447279,2022,-23.5940254366891,-46.704165651393104,5,kilometer,200,"26238,12",8.0,6.0,4.0,11.0,29.0,05651-001,Cidade Jardim,São Paulo,São Paulo,Rua Wilton Paes de Almeida
441557,2022,-23.6251537915594,-46.6886084728174,5,kilometer,319,"33907,62",5.0,10.0,7.0,6.0,28.0,04704-050,Brooklin Novo,São Paulo,São Paulo,Rua das Sempre-Vivas
447247,2022,-23.6065935740077,-46.7066594808199,5,kilometer,193,"27781,05",3.0,3.0,4.0,17.0,27.0,05684-000,Morumbi,São Paulo,São Paulo,Rua Barão de Santa Eulália
447277,2022,-23.5838102715868,-46.7042361326187,5,kilometer,205,"26124,55",3.0,4.0,9.0,11.0,27.0,05607-000,Cidade Jardim,São Paulo,São Paulo,Avenida Lopes de Azevedo
455319,2022,-23.6201796802803,-46.7370824719652,5,kilometer,178,"25049,27",7.0,6.0,5.0,9.0,27.0,05641-010,Paraisópolis,São Paulo,São Paulo,Rua Doutor Oscar Monteiro de Barros
447281,2022,-23.5952637930235,-46.696203926430094,5,kilometer,153,"24302,81",4.0,4.0,11.0,7.0,26.0,04571-030,Cidade Jardim,São Paulo,São Paulo,Rua Padre José Griecco
447282,2022,-23.5921011313398,-46.701562512038,5,kilometer,204,"24384,49",,8.0,6.0,11.0,25.0,05670-000,Cidade Jardim,São Paulo,São Paulo,Rua dos Cravos
447284,2022,-23.5886685882691,-46.6978956700323,5,kilometer,162,"31177,78",,0.0,8.0,15.0,23.0,05670-000,Cidade Jardim,São Paulo,São Paulo,Avenida das Magnólias
447285,2022,-23.591001236129,-46.6949932058112,5,kilometer,190,"25539,47",4.0,3.0,8.0,7.0,22.0,05670-000,Cidade Jardim,São Paulo,São Paulo,Avenida das Acácias
455487,2022,-23.6342294650082,-46.7250686178666,5,kilometer,293,"24477,72",6.0,8.0,,3.0,17.0,05708-290,Vila Andrade,São Paulo,São Paulo,Avenida Dona Helena Pereira de Moraes
447271,2022,-23.5918691648679,-46.71011229144,5,kilometer,213,"23781,71",,,9.0,,,05615-050,Cidade Jardim,São Paulo,São Paulo,Rua Olegário Mariano
441456,2022,-23.6072668685673,-46.6959264161794,5,kilometer,309,"23757,05",26.0,10.0,10.0,8.0,,04575-060,Itaim Bibi,São Paulo,São Paulo,Rua Geraldo Flausino Gomes
458362,2022,-23.6022107983111,-46.7249669608303,5,kilometer,233,"23740,29",10.0,12.0,14.0,15.0,,05651-002,Morumbi,São Paulo,São Paulo,Avenida Giovanni Gronchi
455401,2022,-23.6257996379984,-46.720642908339904,5,kilometer,293,"23700,98",26.0,30.0,23.0,17.0,,05705-170,Paraisópolis,São Paulo,São Paulo,Rua Doutor José Gustavo Busch
441484,2022,-23.6123126695787,-46.6915740308529,5,kilometer,427,"23652,2",32.0,46.0,33.0,21.0,,04568-000,Brooklin Novo,São Paulo,São Paulo,Rua Arizona
441534,2022,-23.6201913221055,-46.6973635300256,5,kilometer,126,"23545,92",,,,,,04711-130,Brooklin Novo,São Paulo,São Paulo,Rua Professor José Leite e Oiticica
447301,2022,-23.5910377891918,-46.704610740754,5,kilometer,164,"23500,09",,6.0,6.0,23.0,,05425-070,Cidade Jardim,São Paulo,São Paulo,Rua Doutor João Neves Neto
452150,2022,-23.6342166489882,-46.7086235572076,5,kilometer,792,"23468,64",37.0,53.0,50.0,49.0,,04719-050,Granja Julieta,São Paulo,São Paulo,
455498,2022,-23.6274779105843,-46.738472568913295,5,kilometer,237,"23394,42",18.0,16.0,14.0,17.0,,05727-160,Paraisópolis,São Paulo,São Paulo,Rua José de Oliveira Coelho
455488,2022,-23.6286060822561,-46.7203952552522,5,kilometer,702,"23338,27",37.0,34.0,41.0,30.0,,05693-000,Paraisópolis,São Paulo,São Paulo,Rua Ventura Ladalardo
455621,2022,-23.6324117299104,-46.7234768789076,5,kilometer,209,"23306,02",10.0,9.0,25.0,24.0,,05707-400,Vila Andrade,São Paulo,São Paulo,
447283,2022,-23.5961269813356,-46.701992728059295,5,kilometer,174,"23186,05",4.0,,7.0,10.0,,05676-120,Cidade Jardim,São Paulo,São Paulo,Rua das Zinias
455410,2022,-23.6278617475644,-46.7186521947362,5,kilometer,319,"23164,63",13.0,15.0,11.0,21.0,,05693-000,Paraisópolis,São Paulo,São Paulo,Rua Ambrizette
447172,2022,-23.5901904430389,-46.7073854524962,5,kilometer,250,"22974,36",4.0,3.0,6.0,10.0,,05615-050,Cidade Jardim,São Paulo,São Paulo,Rua Caixanas
441452,2022,-23.6107175460334,-46.6903685652938,5,kilometer,173,"22767,22",13.0,11.0,4.0,9.0,,04564-002,Brooklin Novo,São Paulo,São Paulo,Rua Flórida
455409,2022,-23.6291831316125,-46.7198059900478,5,kilometer,197,"22717,19",12.0,12.0,14.0,16.0,,05693-000,Vila Andrade,São Paulo,São Paulo,Rua Forte William
447308,2022,-23.6059529218509,-46.7006016887625,5,kilometer,635,"22632,68",14.0,40.0,52.0,41.0,,04578-000,Morumbi,São Paulo,São Paulo,Rua São Paulo Antigo
447256,2022,-23.6050577937037,-46.7012901337342,5,kilometer,218,"22498,46",13.0,11.0,7.0,3.0,,05684-000,Morumbi,São Paulo,São Paulo,Rua Pedro Avancine
452324,2022,-23.6320248988818,-46.6951631546962,5,kilometer,505,"22390,84",53.0,26.0,16.0,17.0,,04710-000,Chácara Santo Antônio,São Paulo,São Paulo,Rua Bela Vista
447201,2022,-23.6124859223102,-46.7087311718121,5,kilometer,225,"22290,0",6.0,14.0,9.0,13.0,,05688-021,Morumbi,São Paulo,São Paulo,Rua Joaquim Cândido de Azevedo Marques
447174,2022,-23.5846025137771,-46.7119055025998,5,kilometer,183,"22270,51",5.0,6.0,,4.0,,05513-100,Cidade Jardim,São Paulo,São Paulo,Rua Pirapó
452204,2022,-23.6260760279044,-46.7067063272768,5,kilometer,630,"22089,24",50.0,64.0,44.0,27.0,,04713-002,Chácara Santo Antônio,São Paulo,São Paulo,Rua José Guerra
452345,2022,-23.6341608531443,-46.70925978656,5,kilometer,325,"21926,67",28.0,29.0,18.0,10.0,,04719-050,Granja Julieta,São Paulo,São Paulo,Rua Decio Pacheco da Silveira
441611,2022,-23.6041500488323,-46.6949827939003,5,kilometer,212,"21910,98",16.0,5.0,4.0,4.0,,04578-000,Vila Olímpia,São Paulo,São Paulo,Rua Mário Gonçalves da Silva
441617,2022,-23.6110992863616,-46.6897326999505,5,kilometer,159,"21589,36",7.0,13.0,7.0,5.0,,04566-001,Brooklin Novo,São Paulo,São Paulo,Rua Alcides Rodrigues
447278,2022,-23.5857801695329,-46.7006374585658,5,kilometer,152,"21536,71",5.0,3.0,5.0,6.0,,05425-070,Cidade Jardim,São Paulo,São Paulo,Rua Manuel de Góis
452205,2022,-23.6355038086886,-46.71574492665,5,kilometer,562,"21530,96",40.0,58.0,35.0,26.0,,04730-990,Granja Julieta,São Paulo,São Paulo,Avenida Professor Alceu Maynard Araújo
447177,2022,-23.5930176949565,-46.6987450421095,5,kilometer,198,"21515,09",7.0,9.0,11.0,11.0,,05670-000,Cidade Jardim,São Paulo,São Paulo,Rua das Avencas
458271,2022,-23.5997910813481,-46.7255653927198,5,kilometer,312,"21510,6",12.0,26.0,27.0,13.0,,05624-001,Vila Sônia,São Paulo,São Paulo,Rua Corgie Assad Abdalla
447221,2022,-23.6122475404393,-46.7116412339478,5,kilometer,219,"21499,24",4.0,15.0,18.0,6.0,,05690-080,Morumbi,São Paulo,São Paulo,Rua Bandeirante Sampaio Soares
458312,2022,-23.5889295986682,-46.74100028902409,5,kilometer,766,"21492,27",36.0,65.0,74.0,62.0,,05541-030,Vila Sônia,São Paulo,São Paulo,Rua Trajano Reis
447272,2022,-23.5849639570509,-46.7080825330054,5,kilometer,191,"21397,63",6.0,13.0,10.0,6.0,,05513-100,Cidade Jardim,São Paulo,São Paulo,Rua Doutor Queirós Guimarães
441529,2022,-23.6201987490179,-46.6949930296631,5,kilometer,238,"21322,79",23.0,10.0,10.0,8.0,,04707-000,Brooklin Novo,São Paulo,São Paulo,Travessa Comendador Salvador Messina
455491,2022,-23.6184044053597,-46.742666951793,5,kilometer,272,"21264,65",11.0,8.0,22.0,18.0,,05641-000,Vila Andrade,São Paulo,São Paulo,Rua Doutor José de Andrade Figueira
452190,2022,-23.6345553469211,-46.7150273179438,5,kilometer,710,"21262,66",44.0,64.0,78.0,40.0,,04726-220,Granja Julieta,São Paulo,São Paulo,Rua Luiz Seráphico Júnior
458301,2022,-23.6077930935263,-46.7351188338414,5,kilometer,648,"21230,77",46.0,58.0,54.0,37.0,,05630-090,Vila Sônia,São Paulo,São Paulo,
455399,2022,-23.6266384329663,-46.7237565799234,5,kilometer,173,"21205,91",5.0,15.0,10.0,7.0,,05705-170,Vila Andrade,São Paulo,São Paulo,Rua Doutor Mário Vatanabe
458299,2022,-23.6060356357255,-46.7348919136184,5,kilometer,872,"21168,4",76.0,95.0,71.0,52.0,,05625-170,Vila Sônia,São Paulo,São Paulo,
455302,2022,-23.6240074646516,-46.713059148955104,5,kilometer,104,"21149,77",0.0,,0.0,0.0,,05657-140,Paraisópolis,São Paulo,São Paulo,Rua Professor Benedito Montenegro
441424,2022,-23.6026900614569,-46.695263963541,5,kilometer,203,"21004,05",29.0,10.0,8.0,4.0,,04561-004,Vila Olímpia,São Paulo,São Paulo,Rua Guararapes
455473,2022,-23.6307853330525,-46.7318042523652,5,kilometer,284,"20914,69",7.0,16.0,18.0,13.0,,05715-010,Vila Andrade,São Paulo,São Paulo,Rua Itapecoca
450146,2022,-23.5877146262648,-46.76009633897431,5,kilometer,572,"20817,24",32.0,24.0,27.0,37.0,,05528-290,Jardim Dracena,São Paulo,São Paulo,Rua Benvenuto di Giovani
455489,2022,-23.6275184240447,-46.71980098588711,5,kilometer,324,"20722,13",33.0,23.0,15.0,13.0,,05693-000,Paraisópolis,São Paulo,São Paulo,Rua Ventura Ladalardo
441528,2022,-23.6217732801745,-46.696561961229904,5,kilometer,404,"20685,65",40.0,29.0,16.0,19.0,,04703-003,Brooklin Novo,São Paulo,São Paulo,Rua Henrique Fischer
452256,2022,-23.6265691931769,-46.6971692890972,5,kilometer,642,"20657,49",68.0,59.0,56.0,37.0,,04710-190,Chácara Santo Antônio,São Paulo,São Paulo,Rua Chafic Maluf
455358,2022,-23.6174739306088,-46.7387431793256,5,kilometer,364,"20613,79",15.0,17.0,21.0,24.0,,05641-060,Paraisópolis,São Paulo,São Paulo,Rua Anatole de Baudot
447227,2022,-23.6044300621227,-46.72365954447871,5,kilometer,353,"20538,73",10.0,17.0,17.0,20.0,,05658-070,Morumbi,São Paulo,São Paulo,Rua Doutor Cristiano de Sousa
447252,2022,-23.611489826723,-46.7075240528234,5,kilometer,315,"20505,31",9.0,12.0,9.0,14.0,,05684-080,Morumbi,São Paulo,São Paulo,Rua Américo Alves Pereira Filho
452333,2022,-23.6439790278105,-46.7215274485092,5,kilometer,422,"20486,6",42.0,20.0,17.0,11.0,,04757-000,Santo Amaro,São Paulo,São Paulo,Rua Verava
455301,2022,-23.6227582698923,-46.719969453135,5,kilometer,540,"20341,66",16.0,28.0,21.0,27.0,,05705-170,Paraisópolis,São Paulo,São Paulo,Rua Professor Alexandre Correia
458300,2022,-23.6068237344866,-46.7357562220372,5,kilometer,648,"20294,88",64.0,73.0,48.0,28.0,,05630-090,Ferreira,São Paulo,São Paulo,
455462,2022,-23.6228711268647,-46.739521228837695,5,kilometer,538,"20218,61",46.0,50.0,41.0,22.0,,05640-003,Paraisópolis,São Paulo,São Paulo,Rua Cherpitel
455469,2022,-23.6305809695388,-46.732694154274895,5,kilometer,396,"20121,52",22.0,29.0,18.0,22.0,,05715-010,Vila Andrade,São Paulo,São Paulo,Rua Itatupã
447244,2022,-23.6105935679975,-46.71000726278351,5,kilometer,265,"20049,03",3.0,8.0,7.0,14.0,,05650-001,Morumbi,São Paulo,São Paulo,Rua Joaquim Cândido de Azevedo Marques
458361,2022,-23.5980008358566,-46.7240466496268,5,kilometer,327,"19923,97",13.0,20.0,28.0,16.0,,05653-070,Vila Sônia,São Paulo,São Paulo,Rua Doutor José Maria Whitaker
455395,2022,-23.6165079073854,-46.714026635159,5,kilometer,167,"19914,29",,,5.0,7.0,,05657-140,Paraisópolis,São Paulo,São Paulo,Rua Trinta e Um de Março
455355,2022,-23.618339586864,-46.7387790630407,5,kilometer,342,"19897,74",17.0,10.0,27.0,29.0,,05641-060,Paraisópolis,São Paulo,São Paulo,Rua Domingos Lopes da Silva
441610,2022,-23.6038864987815,-46.6948781894226,5,kilometer,245,"19894,86",9.0,11.0,12.0,6.0,,04571-110,Vila Olímpia,São Paulo,São Paulo,Rua Amintas Pires de Carvalho
447225,2022,-23.6077923573489,-46.7160186284704,5,kilometer,198,"19877,17",4.0,8.0,4.0,7.0,,05688-021,Morumbi,São Paulo,São Paulo,Rua General Euclides Figueiredo
447216,2022,-23.6061775454882,-46.705059289886094,5,kilometer,396,"19817,4",10.0,12.0,28.0,18.0,,05684-000,Morumbi,São Paulo,São Paulo,Avenida Barão de Campos Gerais
447209,2022,-23.6107778885327,-46.7046069627903,5,kilometer,523,"19810,64",9.0,12.0,20.0,20.0,,05684-080,Morumbi,São Paulo,São Paulo,Rua Américo Alves Pereira Filho
441425,2022,-23.6028383560391,-46.694747142360704,5,kilometer,292,"19705,81",33.0,32.0,22.0,9.0,,04561-004,Vila Olímpia,São Paulo,São Paulo,Rua Guararapes
455421,2022,-23.6373333917184,-46.7292565926827,5,kilometer,272,"19696,98",13.0,19.0,17.0,12.0,,05707-001,Vila Andrade,São Paulo,São Paulo,Villaggio Panamby
455453,2022,-23.6266877161267,-46.73429205989849,5,kilometer,450,"19676,8",18.0,18.0,36.0,13.0,,05715-010,Vila Andrade,São Paulo,São Paulo,Rua Itamira
441453,2022,-23.6099989495481,-46.6969612867422,5,kilometer,278,"19671,96",15.0,18.0,6.0,12.0,,04571-011,Itaim Bibi,São Paulo,São Paulo,Via De Acesso - Hilton - WTC
452298,2022,-23.6525666706937,-46.7188223106034,5,kilometer,671,"19598,58",79.0,52.0,45.0,28.0,,04753-060,Santo Amaro,São Paulo,São Paulo,Avenida Mário Lopes Leão
455356,2022,-23.6189346916151,-46.7379196423918,5,kilometer,192,"19595,09",7.0,8.0,8.0,14.0,,05641-060,Paraisópolis,São Paulo,São Paulo,Rua Professor Hilário Veiga de Carvalho
447306,2022,-23.5920184539901,-46.72006714603631,5,kilometer,389,"19584,9",14.0,21.0,21.0,22.0,,05617-030,Morumbi,São Paulo,São Paulo,Rua Regente Leon Kaniefsky
447173,2022,-23.5964253450963,-46.7115089989975,5,kilometer,287,"19470,3",6.0,15.0,15.0,12.0,,05651-001,Cidade Jardim,São Paulo,São Paulo,Rua Barão de Pirapama
447194,2022,-23.6063671911893,-46.704305066316095,5,kilometer,162,"19420,41",0.0,6.0,8.0,12.0,,05684-000,Morumbi,São Paulo,São Paulo,Avenida Barão de Campos Gerais
455359,2022,-23.6185860255024,-46.7396032143364,5,kilometer,291,"19371,63",9.0,16.0,19.0,15.0,,05641-060,Paraisópolis,São Paulo,São Paulo,Rua Domingos Lopes da Silva
455458,2022,-23.6314292701093,-46.7340928364142,5,kilometer,344,"19341,99",18.0,16.0,41.0,27.0,,05724-003,Vila Andrade,São Paulo,São Paulo,Rua Itapimirum
455368,2022,-23.6205538376343,-46.73674128303809,5,kilometer,167,"19340,85",5.0,3.0,7.0,11.0,,05642-000,Paraisópolis,São Paulo,São Paulo,Avenida José Galante
455638,2022,-23.6193674425829,-46.7372162901946,5,kilometer,357,"19315,01",28.0,16.0,14.0,10.0,,05642-000,Paraisópolis,São Paulo,São Paulo,Rua Doutor Oscar Monteiro de Barros
447185,2022,-23.5908682098369,-46.7175134657318,5,kilometer,299,"19209,52",16.0,16.0,15.0,23.0,,05617-030,Morumbi,São Paulo,São Paulo,Rua Doutor Clóvis de Oliveira
455388,2022,-23.6348640619694,-46.7326677938702,5,kilometer,373,"19179,59",11.0,12.0,10.0,16.0,,05717-270,Vila Andrade,São Paulo,São Paulo,Rua Alcantarilla
447200,2022,-23.6108163985383,-46.7067022046353,5,kilometer,566,"19172,98",9.0,21.0,27.0,27.0,,05684-080,Morumbi,São Paulo,São Paulo,Avenida Barão de Monte Mor
455496,2022,-23.6283033644427,-46.7423993047898,5,kilometer,472,"19142,86",30.0,48.0,61.0,33.0,,05734-150,Paraisópolis,São Paulo,São Paulo,Rua Nicola Rollo
