id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,CEP,Bairro,Cidade,UF,Logradouro,renda_sm,cluster
432041,2022,-23.6183529495485,-46.6791182196447,5,kilometer,313.0,30894.82,8.0,11.0,14.0,19.0,52,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Princesa Isabel,22.38755072463768,3
432042,2022,-23.6183214190444,-46.6804654959921,5,kilometer,266.0,27220.56,13.0,17.0,29.0,15.0,74,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Edson,19.725043478260872,3
432043,2022,-23.6187045657291,-46.68087109591031,5,kilometer,300.0,19314.29,9.0,21.0,24.0,21.0,75,04556-500,Brooklin Velho,São Paulo,São Paulo,Rua Gabrielle D'Annunzio,13.99586231884058,0
432044,2022,-23.6161579095126,-46.6796743031755,5,kilometer,246.0,10584.2,5.0,9.0,11.0,13.0,38,04617-000,Brooklin Velho,São Paulo,São Paulo,Rua Vieira de Morais,7.669710144927537,0
432045,2022,-23.6167269160888,-46.6794189518448,5,kilometer,203.0,11395.82,,5.0,5.0,7.0,17,04615-000,Brooklin Velho,São Paulo,São Paulo,Rua Gil Eanes,8.257840579710145,0
432046,2022,-23.6155296819585,-46.6773908279874,5,kilometer,366.0,15647.84,8.0,17.0,18.0,13.0,56,04615-000,Brooklin Velho,São Paulo,São Paulo,Rua Gil Eanes,11.339014492753623,0
432047,2022,-23.6150766940221,-46.6784798732285,5,kilometer,243.0,11520.7,7.0,9.0,13.0,11.0,40,04615-000,Brooklin Velho,São Paulo,São Paulo,Rua Pascal,8.348333333333334,0
432048,2022,-23.6129205501166,-46.6775360786085,5,kilometer,225.0,9959.78,8.0,3.0,4.0,3.0,18,04614-010,Brooklin Velho,São Paulo,São Paulo,Rua Demóstenes,7.217231884057972,2
432049,2022,-23.6118769812851,-46.6773731734801,5,kilometer,194.0,13404.29,0.0,,0.0,,0,04559-000,Campo Belo,São Paulo,São Paulo,Avenida Santo Amaro,9.713253623188406,0
432050,2022,-23.612188481626,-46.6775780877053,5,kilometer,214.0,13757.58,,,3.0,3.0,6,04559-000,Campo Belo,São Paulo,São Paulo,Avenida Santo Amaro,9.969260869565217,0
432053,2022,-23.6273254618713,-46.6685556426067,5,kilometer,316.0,15053.32,13.0,21.0,14.0,15.0,63,04624-080,Brooklin Velho,São Paulo,São Paulo,Rua Paiaguás,10.908202898550725,0
432054,2022,-23.6291678926597,-46.6696476804652,5,kilometer,262.0,7174.06,7.0,8.0,9.0,7.0,31,04624-050,Brooklin Velho,São Paulo,São Paulo,Rua Doutor Silvino Canúto Abreu,5.198594202898551,2
432055,2022,-23.6384577732056,-46.6674071042846,5,kilometer,174.0,6098.42,7.0,3.0,6.0,9.0,25,04362-000,Campo Belo,São Paulo,São Paulo,Rua Tebas,4.419144927536232,2
432057,2022,-23.6393100206204,-46.6693990694796,5,kilometer,232.0,8524.75,6.0,14.0,5.0,6.0,31,04362-000,Campo Belo,São Paulo,São Paulo,Avenida Santa Catarina,6.177355072463768,2
432058,2022,-23.6386417908343,-46.6691635707853,5,kilometer,234.0,13809.16,8.0,6.0,5.0,4.0,23,04634-040,Campo Belo,São Paulo,São Paulo,Rua Lacedemonia,10.00663768115942,0
432059,2022,-23.6392103700405,-46.6722581560803,5,kilometer,161.0,5410.82,4.0,,7.0,8.0,19,04635-052,Campo Belo,São Paulo,São Paulo,Rua Palacete das Águias,3.9208840579710142,2
432060,2022,-23.6238654042896,-46.6804128904823,5,kilometer,185.0,12137.46,5.0,6.0,8.0,19.0,38,04602-002,Brooklin Velho,São Paulo,São Paulo,Avenida Vereador José Diniz,8.795260869565217,0
432061,2022,-23.6244938762537,-46.67895365096209,5,kilometer,275.0,8815.57,7.0,14.0,5.0,8.0,34,04602-002,Brooklin Velho,São Paulo,São Paulo,Rua Barão Jaceguai,6.38809420289855,2
432062,2022,-23.622666512482,-46.673420394991,5,kilometer,296.0,14935.03,7.0,13.0,12.0,14.0,46,04617-002,Brooklin Velho,São Paulo,São Paulo,Rua João de Sousa Dias,10.822485507246377,0
432063,2022,-23.6231295931678,-46.6735516075194,5,kilometer,248.0,11520.29,6.0,7.0,7.0,13.0,33,04617-020,Brooklin Velho,São Paulo,São Paulo,Rua Edson,8.348036231884059,0
432064,2022,-23.6265118607535,-46.6848367333656,5,kilometer,298.0,25739.58,14.0,14.0,25.0,22.0,75,04602-000,Brooklin Velho,São Paulo,São Paulo,Rua Barão do Triunfo,18.651869565217392,3
432065,2022,-23.6268256957098,-46.6852218639378,5,kilometer,300.0,24810.23,9.0,15.0,19.0,37.0,80,04602-000,Brooklin Velho,São Paulo,São Paulo,Rua Barão do Triunfo,17.978427536231884,3
432066,2022,-23.623799558574,-46.6849804126201,5,kilometer,270.0,25343.58,13.0,15.0,20.0,18.0,66,04602-000,Brooklin Velho,São Paulo,São Paulo,Avenida Santo Amaro,18.36491304347826,3
432067,2022,-23.6252662150636,-46.6852592063278,5,kilometer,295.0,28787.11,10.0,13.0,25.0,21.0,69,04602-000,Brooklin Velho,São Paulo,São Paulo,Rua Eleutério,20.86022463768116,3
432068,2022,-23.6213931038507,-46.6813513100192,5,kilometer,211.0,27360.05,9.0,9.0,16.0,13.0,47,04602-002,Brooklin Velho,São Paulo,São Paulo,Rua Henrique Brammer Neto,19.826123188405795,3
432069,2022,-23.6224774720459,-46.6823855562224,5,kilometer,247.0,10948.8,0.0,4.0,5.0,10.0,19,04602-002,Brooklin Velho,São Paulo,São Paulo,,7.9339130434782605,0
432070,2022,-23.6199460248049,-46.6799058466732,5,kilometer,263.0,17859.75,9.0,14.0,10.0,12.0,45,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Gabrielle D'Annunzio,12.941847826086956,0
432071,2022,-23.6210203959968,-46.6793672200317,5,kilometer,234.0,28223.41,19.0,27.0,12.0,9.0,67,04603-002,Brooklin Velho,São Paulo,São Paulo,Avenida Vereador José Diniz,20.451746376811595,3
432072,2022,-23.61994386073,-46.6736186320034,5,kilometer,200.0,9852.42,15.0,4.0,7.0,11.0,37,04617-012,Brooklin Velho,São Paulo,São Paulo,Rua Tejereba,7.139434782608696,2
432073,2022,-23.6197384964729,-46.674102710177294,5,kilometer,129.0,6302.06,,,0.0,0.0,0,04614-013,Brooklin Velho,São Paulo,São Paulo,Rua Barão Jaceguai,4.566710144927536,2
432074,2022,-23.6145426940018,-46.6733027851461,5,kilometer,267.0,19094.06,15.0,30.0,13.0,7.0,65,04614-001,Brooklin Velho,São Paulo,São Paulo,Rua Morais de Barros,13.836275362318842,0
432075,2022,-23.6148109951634,-46.6734094259373,5,kilometer,348.0,23978.26,29.0,17.0,21.0,16.0,83,04614-001,Brooklin Velho,São Paulo,São Paulo,Rua Morais de Barros,17.37555072463768,3
432076,2022,-23.6153019812795,-46.674309665755,5,kilometer,170.0,14915.2,7.0,9.0,4.0,,20,04614-012,Brooklin Velho,São Paulo,São Paulo,Rua Barão do Triunfo,10.808115942028985,0
432077,2022,-23.6156386633773,-46.6738043470799,5,kilometer,119.0,8193.33,0.0,0.0,,,0,04614-001,Brooklin Velho,São Paulo,São Paulo,Avenida Vereador José Diniz,5.937195652173913,2
432078,2022,-23.6172931855654,-46.6803248222677,5,kilometer,202.0,16029.84,4.0,9.0,11.0,9.0,33,04555-001,Brooklin Velho,São Paulo,São Paulo,Rua Álvaro Luis Roberto de Assunção,11.615826086956522,0
432079,2022,-23.6175608530962,-46.6805893385211,5,kilometer,153.0,11731.64,,7.0,,6.0,13,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Edson,8.501188405797102,0
432080,2022,-23.6285804375296,-46.6780562185784,5,kilometer,356.0,9706.97,14.0,11.0,18.0,22.0,65,04623-050,Brooklin Velho,São Paulo,São Paulo,Rua João Álvares Soares,7.034036231884057,0
432081,2022,-23.6294207562433,-46.67584038356689,5,kilometer,280.0,12730.77,8.0,14.0,16.0,19.0,57,04623-050,Brooklin Velho,São Paulo,São Paulo,Rua República do Iraque,9.225195652173914,0
432082,2022,-23.6230552177791,-46.6778564348938,5,kilometer,201.0,21540.79,16.0,14.0,13.0,9.0,52,04603-002,Brooklin Velho,São Paulo,São Paulo,Avenida Jornalista Roberto Marinho,15.60926811594203,3
432083,2022,-23.6228987810812,-46.6765585059955,5,kilometer,336.0,39652.59,27.0,36.0,29.0,12.0,104,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Estácio Coimbra,28.733760869565216,3
432084,2022,-23.6335183918436,-46.6773552405134,5,kilometer,393.0,18251.29,14.0,10.0,25.0,31.0,80,04620-004,Brooklin Velho,São Paulo,São Paulo,Rua Cristóvão Pereira,13.225572463768117,0
432085,2022,-23.6310279471047,-46.6794080793723,5,kilometer,324.0,17389.53,9.0,17.0,22.0,23.0,71,04623-050,Brooklin Velho,São Paulo,São Paulo,Rua Zacarias de Góis,12.601108695652172,0
432086,2022,-23.6388889370626,-46.673910392759,5,kilometer,176.0,6554.67,,7.0,7.0,4.0,18,04635-052,Campo Belo,São Paulo,São Paulo,Rua Emboabas,4.749760869565217,2
432087,2022,-23.6400301509208,-46.6755799496326,5,kilometer,297.0,7556.32,7.0,5.0,12.0,15.0,39,04626-001,Campo Belo,São Paulo,São Paulo,Rua Doutor Domingos de Silos,5.4755942028985505,2
432088,2022,-23.6215138716432,-46.6831515746288,5,kilometer,343.0,19381.65,7.0,18.0,17.0,12.0,54,04556-500,Brooklin Velho,São Paulo,São Paulo,Rua Getúlio Augusto de Paiva,14.044673913043479,0
432089,2022,-23.6199316373672,-46.6817634405953,5,kilometer,257.0,14179.61,9.0,7.0,13.0,12.0,41,04556-500,Brooklin Velho,São Paulo,São Paulo,Avenida Jornalista Roberto Marinho,10.275079710144928,0
432090,2022,-23.6189819262189,-46.681608574719,5,kilometer,240.0,15162.68,4.0,9.0,8.0,11.0,32,04556-500,Brooklin Velho,São Paulo,São Paulo,Rua Gabrielle D'Annunzio,10.98744927536232,0
432091,2022,-23.6186275422001,-46.6740414313966,5,kilometer,200.0,21059.28,10.0,11.0,,5.0,26,04610-003,Brooklin Velho,São Paulo,São Paulo,Rua Pascal,15.260347826086957,3
432092,2022,-23.6194172442382,-46.6747901308306,5,kilometer,363.0,9619.41,16.0,10.0,14.0,22.0,62,04607-002,Brooklin Velho,São Paulo,São Paulo,Rua Vieira de Morais,6.970586956521739,0
432095,2022,-23.630968461338,-46.67084266890831,5,kilometer,339.0,1584.83,35.0,39.0,37.0,27.0,138,04624-050,Brooklin Velho,São Paulo,São Paulo,Rua Iguaçu,1.148427536231884,2
432096,2022,-23.6302314968236,-46.6707774663625,5,kilometer,205.0,6068.03,9.0,13.0,12.0,15.0,49,04624-060,Brooklin Velho,São Paulo,São Paulo,Rua Casimiro de Abreu,4.397123188405797,2
432097,2022,-23.6281031747855,-46.6739009445143,5,kilometer,381.0,14367.62,23.0,24.0,15.0,11.0,73,04608-010,Brooklin Velho,São Paulo,São Paulo,,10.41131884057971,0
432098,2022,-23.629949912928,-46.6728731454751,5,kilometer,195.0,5747.68,4.0,11.0,12.0,20.0,47,04620-004,Brooklin Velho,São Paulo,São Paulo,Avenida Jornalista Roberto Marinho,4.164985507246377,2
432101,2022,-23.6221192084726,-46.6761666298457,5,kilometer,276.0,28724.72,24.0,24.0,23.0,20.0,91,04614-013,Brooklin Velho,São Paulo,São Paulo,Rua Barão Jaceguai,20.815014492753622,3
432102,2022,-23.6224586577929,-46.6758802891073,5,kilometer,282.0,29301.21,15.0,28.0,29.0,11.0,83,04607-002,Brooklin Velho,São Paulo,São Paulo,Rua Antônio de Macedo Soares,21.232760869565215,3
432103,2022,-23.6213083591991,-46.6776673974328,5,kilometer,165.0,18520.58,,4.0,3.0,,7,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Gabrielle D'Annunzio,13.420710144927538,0
432104,2022,-23.6210190776127,-46.6773949785485,5,kilometer,221.0,15819.94,,4.0,7.0,7.0,18,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Constantino de Sousa,11.46372463768116,0
432105,2022,-23.6205708276198,-46.6748064784226,5,kilometer,201.0,10639.25,3.0,,4.0,5.0,12,04614-013,Brooklin Velho,São Paulo,São Paulo,Rua Barão Jaceguai,7.709601449275362,2
432106,2022,-23.6207508851552,-46.6742845924309,5,kilometer,213.0,10893.2,6.0,5.0,4.0,3.0,18,04607-002,Brooklin Velho,São Paulo,São Paulo,Rua Vieira de Morais,7.8936231884057975,0
432109,2022,-23.6204249589087,-46.677272585887,5,kilometer,320.0,10948.35,7.0,8.0,7.0,4.0,26,04617-020,Brooklin Velho,São Paulo,São Paulo,Rua Edson,7.933586956521739,0
432110,2022,-23.6441949293857,-46.6714624549231,5,kilometer,110.0,8432.55,,3.0,3.0,4.0,10,04646-000,Campo Belo,São Paulo,São Paulo,Rua Fernando Reis,6.110543478260869,2
432111,2022,-23.643708099768,-46.671885046715104,5,kilometer,115.0,8681.52,,8.0,5.0,3.0,16,04646-000,Campo Belo,São Paulo,São Paulo,Rua Fernando Reis,6.290956521739131,2
432112,2022,-23.6432336500501,-46.6701167277371,5,kilometer,205.0,18772.12,12.0,13.0,8.0,14.0,47,04635-052,Jabaquara,São Paulo,São Paulo,Avenida Mascote,13.602985507246377,0
432113,2022,-23.6420844679072,-46.6704650022283,5,kilometer,261.0,39691.29,11.0,7.0,8.0,12.0,38,04635-052,Campo Belo,São Paulo,São Paulo,Rua Maratona,28.761804347826086,3
432116,2022,-23.6329423419682,-46.6680566830588,5,kilometer,288.0,9799.22,9.0,17.0,11.0,16.0,53,04633-050,Brooklin Velho,São Paulo,São Paulo,Rua Visconde de Ourém,7.100884057971014,2
432121,2022,-23.6399244503301,-46.6728324170862,5,kilometer,199.0,7823.17,5.0,4.0,4.0,4.0,17,04635-052,Campo Belo,São Paulo,São Paulo,Avenida Dória,5.668963768115942,2
432125,2022,-23.6220451397948,-46.6776124604398,5,kilometer,203.0,16522.84,6.0,5.0,5.0,3.0,19,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Gabrielle D'Annunzio,11.973072463768116,0
432126,2022,-23.6223774488298,-46.6771994773521,5,kilometer,363.0,18556.42,21.0,5.0,7.0,3.0,36,04614-013,Brooklin Velho,São Paulo,São Paulo,Rua Barão Jaceguai,13.446681159420288,0
432130,2022,-23.6293062620993,-46.67239392938409,5,kilometer,62.0,1620.76,,0.0,,,0,04620-020,Brooklin Velho,São Paulo,São Paulo,Rua Cristóvão Pereira,1.174463768115942,2
432131,2022,-23.6298937938307,-46.6720596987315,5,kilometer,597.0,1539.75,69.0,90.0,75.0,67.0,301,04624-060,Campo Belo,São Paulo,São Paulo,Rua Sônia Ribeiro,1.1157608695652175,1
432132,2022,-23.6189129406089,-46.681755464044,5,kilometer,182.0,15732.43,0.0,,6.0,7.0,13,04556-500,Brooklin Velho,São Paulo,São Paulo,Rua Gabrielle D'Annunzio,11.400311594202899,0
432134,2022,-23.6375226931088,-46.6659480095961,5,kilometer,334.0,6585.52,7.0,12.0,7.0,3.0,29,04362-000,Campo Belo,São Paulo,São Paulo,Rua Lacedemonia,4.772115942028986,2
432135,2022,-23.6343993532994,-46.6702624764714,5,kilometer,57.0,5564.18,4.0,,5.0,0.0,9,04633-050,Campo Belo,São Paulo,São Paulo,Rua Emboabas,4.032014492753623,2
432138,2022,-23.616213397911,-46.6702596897714,5,kilometer,215.0,8499.91,14.0,3.0,7.0,9.0,33,04606-050,Brooklin Velho,São Paulo,São Paulo,Rua Otávio Tarquínio de Sousa,6.159355072463768,2
432141,2022,-23.6311528879732,-46.6693720568368,5,kilometer,,,,,,,0,04633-050,Brooklin Velho,São Paulo,São Paulo,Avenida Washington Luís,,
432143,2022,-23.630881339898,-46.6698687956192,5,kilometer,845.0,1925.14,66.0,76.0,91.0,79.0,312,04624-050,Brooklin Velho,São Paulo,São Paulo,Rua Estevão Baião,1.3950289855072464,1
432145,2022,-23.6324075722927,-46.6695472209791,5,kilometer,,,,,,,0,04633-050,Brooklin Velho,São Paulo,São Paulo,Avenida Washington Luís,,
432177,2022,-23.6680615333705,-46.6913595286924,5,kilometer,546.0,5173.66,15.0,23.0,43.0,44.0,125,04689-070,Campo Grande,São Paulo,São Paulo,Rua Macaíba,3.749028985507246,1
432183,2022,-23.6693220130608,-46.6994512144239,5,kilometer,18.0,4716.67,0.0,,,,0,04675-100,Campo Grande,São Paulo,São Paulo,Rua 32,3.417876811594203,2
432184,2022,-23.6643495388609,-46.6900712239522,5,kilometer,528.0,8524.95,12.0,23.0,25.0,20.0,80,04686-001,Campo Grande,São Paulo,São Paulo,Rua José Jardim da Silverira,6.1775,0
