id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,CEP
431960,2022,-23.6412506571704,-46.6671271505436,5,kilometer,287.0,"4756,37",8.0,8.0,11.0,8.0,35,04362-000
431961,2022,-23.6252484751529,-46.6833712607684,5,kilometer,336.0,"10710,51",11.0,12.0,9.0,8.0,40,04622-000
431962,2022,-23.624783764002,-46.6841648093384,5,kilometer,310.0,"12565,41",9.0,11.0,22.0,19.0,61,04621-002
431963,2022,-23.6234416368377,-46.6833043182801,5,kilometer,189.0,"9203,07",8.0,4.0,3.0,3.0,18,04602-002
431964,2022,-23.6242954446431,-46.6843624878193,5,kilometer,238.0,"11352,51",10.0,16.0,10.0,7.0,43,04621-002
431965,2022,-23.6246191034549,-46.6856442155037,5,kilometer,513.0,"19282,9",32.0,35.0,32.0,39.0,138,04702-000
431966,2022,-23.6193294532298,-46.676188402985,5,kilometer,252.0,"10266,21",7.0,9.0,7.0,7.0,30,04603-002
431968,2022,-23.616949046178,-46.6739460521729,5,kilometer,228.0,"15650,5",,5.0,,,5,04614-013
431969,2022,-23.6181450350232,-46.6750671319837,5,kilometer,204.0,"17773,15",9.0,10.0,6.0,8.0,33,04610-003
431970,2022,-23.6165923307137,-46.680045117862,5,kilometer,168.0,"9282,49",,,3.0,,3,04555-001
431971,2022,-23.6328653886137,-46.6707942674071,5,kilometer,330.0,"1899,29",16.0,20.0,22.0,28.0,86,04620-004
431974,2022,-23.6319683569181,-46.671537807483,5,kilometer,170.0,"1889,58",8.0,14.0,7.0,18.0,47,04620-004
431975,2022,-23.6252073495351,-46.6771377503309,5,kilometer,107.0,"1844,16",,5.0,6.0,5.0,16,04608-010
431976,2022,-23.6243843170378,-46.6766210801699,5,kilometer,141.0,"1598,61",9.0,10.0,6.0,8.0,33,04608-010
431977,2022,-23.6309095526479,-46.6732258200655,5,kilometer,229.0,"1987,64",24.0,19.0,16.0,12.0,71,04608-010
431978,2022,-23.6270980811234,-46.6730002698692,5,kilometer,234.0,"12946,9",11.0,6.0,7.0,7.0,31,04608-010
431979,2022,-23.6279705680466,-46.6722978367556,5,kilometer,214.0,"11660,79",4.0,4.0,3.0,8.0,19,04608-010
431980,2022,-23.6259753190178,-46.6729157442956,5,kilometer,207.0,"10489,69",6.0,11.0,4.0,9.0,30,04617-014
431981,2022,-23.6271794752724,-46.6715630251139,5,kilometer,278.0,"13579,82",6.0,8.0,8.0,9.0,31,04608-010
431982,2022,-23.6258245197506,-46.6682171730496,5,kilometer,339.0,"10515,49",20.0,7.0,12.0,12.0,51,04625-005
431984,2022,-23.6229630528856,-46.675108798779696,5,kilometer,457.0,"25657,31",30.0,39.0,42.0,30.0,141,04608-010
431985,2022,-23.6238371979869,-46.6734312174761,5,kilometer,382.0,"18504,49",14.0,13.0,13.0,11.0,51,04617-020
431986,2022,-23.619959263036,-46.6771657775964,5,kilometer,150.0,"12307,32",0.0,0.0,0.0,0.0,0,04603-002
431988,2022,-23.6215684985609,-46.6754710471522,5,kilometer,235.0,"12832,55",8.0,16.0,5.0,7.0,36,04617-020
431989,2022,-23.6214071970961,-46.6748596674644,5,kilometer,186.0,"12485,55",9.0,10.0,4.0,6.0,29,04617-002
431990,2022,-23.6201857196174,-46.678569212410494,5,kilometer,359.0,"20178,96",20.0,20.0,21.0,22.0,83,04603-002
431991,2022,-23.6194029705186,-46.6778307550112,5,kilometer,261.0,"16308,92",10.0,10.0,14.0,6.0,40,04603-002
431992,2022,-23.6289158281096,-46.6685138700899,5,kilometer,302.0,"21257,48",34.0,26.0,26.0,12.0,98,04625-022
431993,2022,-23.6291827939192,-46.668106343475,5,kilometer,281.0,"21310,53",30.0,17.0,17.0,9.0,73,04625-022
431994,2022,-23.62951528911,-46.668581393852,5,kilometer,274.0,"18410,37",25.0,27.0,26.0,9.0,87,04625-022
431995,2022,-23.6317981111305,-46.6683414975428,5,kilometer,248.0,"6848,65",15.0,11.0,4.0,10.0,40,04633-050
431996,2022,-23.6312912812755,-46.6684833584561,5,kilometer,269.0,"14179,52",4.0,4.0,0.0,3.0,11,04633-050
431998,2022,-23.6350978736956,-46.6661245993297,5,kilometer,263.0,"8202,76",14.0,13.0,13.0,8.0,48,04633-050
432001,2022,-23.6266279545487,-46.6763540717974,5,kilometer,501.0,"3174,49",25.0,25.0,21.0,31.0,102,04608-010
432002,2022,-23.6252810121282,-46.675763951997,5,kilometer,639.0,"22711,14",37.0,64.0,76.0,32.0,209,04608-010
432003,2022,-23.625329671151,-46.6743419058956,5,kilometer,519.0,"30378,11",18.0,27.0,28.0,52.0,125,04608-010
432004,2022,-23.6260512596828,-46.6751993445672,5,kilometer,214.0,"17057,15",10.0,11.0,4.0,8.0,33,04608-010
432005,2022,-23.6262067925779,-46.6748042985964,5,kilometer,184.0,"18698,66",12.0,4.0,,,16,04608-010
432006,2022,-23.62443492666,-46.6750004434246,5,kilometer,402.0,"20921,58",16.0,35.0,45.0,33.0,129,04608-010
432008,2022,-23.623754547113,-46.6757307448338,5,kilometer,316.0,"28515,17",16.0,19.0,30.0,18.0,83,04608-010
432009,2022,-23.6238167272753,-46.6763465061768,5,kilometer,180.0,"16693,21",4.0,10.0,5.0,,19,04608-010
432010,2022,-23.6265774767909,-46.6740249620185,5,kilometer,324.0,"27878,87",27.0,27.0,10.0,12.0,76,04608-010
432011,2022,-23.6285399280448,-46.6666762833205,5,kilometer,251.0,"7537,85",10.0,7.0,8.0,7.0,32,04625-022
432012,2022,-23.6236010225615,-46.6761530745696,5,kilometer,148.0,"16298,92",5.0,4.0,4.0,,13,04607-002
432022,2022,-23.6391245069741,-46.67075356084,5,kilometer,300.0,"25066,8",26.0,40.0,14.0,8.0,88,04634-040
432023,2022,-23.6380759946414,-46.6697528444428,5,kilometer,221.0,"8489,65",6.0,4.0,6.0,,16,04634-040
432032,2022,-23.643380490086,-46.6708161269358,5,kilometer,529.0,"15121,07",26.0,44.0,34.0,28.0,132,04635-052
432033,2022,-23.6428856824916,-46.6706187192908,5,kilometer,226.0,"12736,3",15.0,8.0,3.0,4.0,30,04635-052
432034,2022,-23.6425346509712,-46.6692507375048,5,kilometer,162.0,"10420,58",6.0,6.0,10.0,6.0,28,04362-000
432035,2022,-23.6115586171343,-46.6770762052944,5,kilometer,172.0,"12845,68",4.0,6.0,5.0,3.0,18,04614-010
432036,2022,-23.6215832415727,-46.6768034770054,5,kilometer,635.0,"20063,09",31.0,59.0,61.0,47.0,198,04614-013
432037,2022,-23.6207907683237,-46.6760781666172,5,kilometer,282.0,"12656,12",15.0,5.0,10.0,16.0,46,04603-002
432038,2022,-23.6200018356597,-46.6753427544911,5,kilometer,210.0,"15772,41",11.0,6.0,6.0,9.0,32,04603-002
432039,2022,-23.6214207999401,-46.6735762903864,5,kilometer,234.0,"12288,13",8.0,5.0,5.0,12.0,30,04617-002
432040,2022,-23.6211342891995,-46.6736886129903,5,kilometer,158.0,"8432,79",0.0,,,0.0,0,04617-002
432041,2022,-23.6183529495485,-46.6791182196447,5,kilometer,313.0,"30894,82",8.0,11.0,14.0,19.0,52,04603-002
432042,2022,-23.6183214190444,-46.6804654959921,5,kilometer,266.0,"27220,56",13.0,17.0,29.0,15.0,74,04603-002
432043,2022,-23.6187045657291,-46.68087109591031,5,kilometer,300.0,"19314,29",9.0,21.0,24.0,21.0,75,04556-500
432044,2022,-23.6161579095126,-46.6796743031755,5,kilometer,246.0,"10584,2",5.0,9.0,11.0,13.0,38,04617-000
432045,2022,-23.6167269160888,-46.6794189518448,5,kilometer,203.0,"11395,82",,5.0,5.0,7.0,17,04615-000
432046,2022,-23.6155296819585,-46.6773908279874,5,kilometer,366.0,"15647,84",8.0,17.0,18.0,13.0,56,04615-000
432047,2022,-23.6150766940221,-46.6784798732285,5,kilometer,243.0,"11520,7",7.0,9.0,13.0,11.0,40,04615-000
432048,2022,-23.6129205501166,-46.6775360786085,5,kilometer,225.0,"9959,78",8.0,3.0,4.0,3.0,18,04614-010
432049,2022,-23.6118769812851,-46.6773731734801,5,kilometer,194.0,"13404,29",0.0,,0.0,,0,04559-000
432050,2022,-23.612188481626,-46.6775780877053,5,kilometer,214.0,"13757,58",,,3.0,3.0,6,04559-000
432053,2022,-23.6273254618713,-46.6685556426067,5,kilometer,316.0,"15053,32",13.0,21.0,14.0,15.0,63,04624-080
432054,2022,-23.6291678926597,-46.6696476804652,5,kilometer,262.0,"7174,06",7.0,8.0,9.0,7.0,31,04624-050
432055,2022,-23.6384577732056,-46.6674071042846,5,kilometer,174.0,"6098,42",7.0,3.0,6.0,9.0,25,04362-000
432057,2022,-23.6393100206204,-46.6693990694796,5,kilometer,232.0,"8524,75",6.0,14.0,5.0,6.0,31,04362-000
432058,2022,-23.6386417908343,-46.6691635707853,5,kilometer,234.0,"13809,16",8.0,6.0,5.0,4.0,23,04634-040
432059,2022,-23.6392103700405,-46.6722581560803,5,kilometer,161.0,"5410,82",4.0,,7.0,8.0,19,04635-052
432060,2022,-23.6238654042896,-46.6804128904823,5,kilometer,185.0,"12137,46",5.0,6.0,8.0,19.0,38,04602-002
432061,2022,-23.6244938762537,-46.67895365096209,5,kilometer,275.0,"8815,57",7.0,14.0,5.0,8.0,34,04602-002
432062,2022,-23.622666512482,-46.673420394991,5,kilometer,296.0,"14935,03",7.0,13.0,12.0,14.0,46,04617-002
432063,2022,-23.6231295931678,-46.6735516075194,5,kilometer,248.0,"11520,29",6.0,7.0,7.0,13.0,33,04617-020
432064,2022,-23.6265118607535,-46.6848367333656,5,kilometer,298.0,"25739,58",14.0,14.0,25.0,22.0,75,04602-000
432065,2022,-23.6268256957098,-46.6852218639378,5,kilometer,300.0,"24810,23",9.0,15.0,19.0,37.0,80,04602-000
432066,2022,-23.623799558574,-46.6849804126201,5,kilometer,270.0,"25343,58",13.0,15.0,20.0,18.0,66,04602-000
432067,2022,-23.6252662150636,-46.6852592063278,5,kilometer,295.0,"28787,11",10.0,13.0,25.0,21.0,69,04602-000
432068,2022,-23.6213931038507,-46.6813513100192,5,kilometer,211.0,"27360,05",9.0,9.0,16.0,13.0,47,04602-002
432069,2022,-23.6224774720459,-46.6823855562224,5,kilometer,247.0,"10948,8",0.0,4.0,5.0,10.0,19,04602-002
432070,2022,-23.6199460248049,-46.6799058466732,5,kilometer,263.0,"17859,75",9.0,14.0,10.0,12.0,45,04603-002
432071,2022,-23.6210203959968,-46.6793672200317,5,kilometer,234.0,"28223,41",19.0,27.0,12.0,9.0,67,04603-002
432072,2022,-23.61994386073,-46.6736186320034,5,kilometer,200.0,"9852,42",15.0,4.0,7.0,11.0,37,04617-012
432073,2022,-23.6197384964729,-46.674102710177294,5,kilometer,129.0,"6302,06",,,0.0,0.0,0,04614-013
432074,2022,-23.6145426940018,-46.6733027851461,5,kilometer,267.0,"19094,06",15.0,30.0,13.0,7.0,65,04614-001
432075,2022,-23.6148109951634,-46.6734094259373,5,kilometer,348.0,"23978,26",29.0,17.0,21.0,16.0,83,04614-001
432076,2022,-23.6153019812795,-46.674309665755,5,kilometer,170.0,"14915,2",7.0,9.0,4.0,,20,04614-012
432077,2022,-23.6156386633773,-46.6738043470799,5,kilometer,119.0,"8193,33",0.0,0.0,,,0,04614-001
432078,2022,-23.6172931855654,-46.6803248222677,5,kilometer,202.0,"16029,84",4.0,9.0,11.0,9.0,33,04555-001
432079,2022,-23.6175608530962,-46.6805893385211,5,kilometer,153.0,"11731,64",,7.0,,6.0,13,04603-002
