id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade,CEP,Logradouro,Bairro,Cidade,UF,renda_sm,cluster
431939,2022,-23.6191088220988,-46.6729864313087,5,kilometer,206.0,1718962.0,3.0,8.0,5.0,4.0,20.0,chacara,04606-004,R Br De Jaceguai,Campo Belo,São Paulo,SP,12.456246376811594,1
431940,2022,-23.6163717196581,-46.6786769922242,5,kilometer,519.0,1663195.0,16.0,10.0,16.0,20.0,62.0,chacara,04617-010,R  Vieira De Morais,Campo Belo,São Paulo,SP,12.05213768115942,1
431941,2022,-23.6120117536099,-46.6762359325566,5,kilometer,211.0,981823.0,9.0,8.0,10.0,14.0,41.0,chacara,04601-071,R Comen Eduardo Saccab,Brooklin Paulista,São Paulo,SP,7.114659420289855,1
431942,2022,-23.6133759880769,-46.6739037570623,5,kilometer,448.0,1522382.0,27.0,16.0,19.0,31.0,93.0,chacara,04601-000,R Prsa Isabel,Brooklin Paulista,São Paulo,SP,11.031753623188406,1
431945,2022,-23.6271479881567,-46.669951981774304,5,kilometer,401.0,1602346.0,12.0,19.0,22.0,37.0,90.0,chacara,04624-080,R  Paiaguas,Vila Congonhas,São Paulo,SP,11.611202898550724,1
431946,2022,-23.6258977369247,-46.6708524760713,5,kilometer,319.0,1280229.0,16.0,9.0,8.0,15.0,48.0,chacara,04618-035,R  Edson,Campo Belo,São Paulo,SP,9.277021739130435,1
431948,2022,-23.6368892673638,-46.6700343129047,5,kilometer,163.0,676906.0,4.0,7.0,8.0,10.0,29.0,chacara,04634-045,R  Walter Fontana,Jardim Brasil (Zona Sul),São Paulo,SP,4.905115942028986,2
431949,2022,-23.6345041608038,-46.6727882834882,5,kilometer,337.0,816457.0,8.0,22.0,7.0,18.0,55.0,chacara,04622-001,R  Laplace,Brooklin Paulista,São Paulo,SP,5.916355072463768,2
431950,2022,-23.6241181377348,-46.6701870700158,5,kilometer,243.0,831176.0,5.0,9.0,8.0,8.0,30.0,chacara,04617-004,R  Vieira De Morais,Campo Belo,São Paulo,SP,6.0230144927536235,2
431951,2022,-23.6225765428024,-46.6692363972781,5,kilometer,240.0,788082.0,3.0,10.0,6.0,10.0,29.0,chacara,04616-004,R  Pascal,Campo Belo,São Paulo,SP,5.710739130434782,2
431956,2022,-23.636556532678,-46.6756961714021,5,kilometer,434.0,1146329.0,7.0,18.0,26.0,19.0,70.0,chacara,04623-050,R  Tome Portes,Brooklin Paulista,São Paulo,SP,8.306731884057971,1
431957,2022,-23.6230914362829,-46.6714600815635,5,kilometer,192.0,1261842.0,12.0,6.0,6.0,4.0,28.0,chacara,04610-003,R  Zacarias De Gois,Parque Colonial,São Paulo,SP,9.143782608695652,1
431960,2022,-23.6412506571704,-46.6671271505436,5,kilometer,287.0,475637.0,8.0,8.0,11.0,8.0,35.0,chacara,04635-001,Av Sta Catarina,Vila Alexandria,São Paulo,SP,3.446644927536232,2
431961,2022,-23.6252484751529,-46.6833712607684,5,kilometer,336.0,1071051.0,11.0,12.0,9.0,8.0,40.0,chacara,04603-001,Av Ver Jose Diniz,Santo Amaro,São Paulo,SP,7.761239130434783,1
431962,2022,-23.624783764002,-46.6841648093384,5,kilometer,310.0,1256541.0,9.0,11.0,22.0,19.0,61.0,chacara,04602-906,R Br Do Triunfo,Brooklin Paulista,São Paulo,SP,9.10536956521739,1
431963,2022,-23.6234416368377,-46.6833043182801,5,kilometer,189.0,920307.0,8.0,4.0,3.0,3.0,18.0,chacara,04601-000,R Prsa Isabel,Brooklin Paulista,São Paulo,SP,6.6688913043478255,2
431964,2022,-23.6242954446431,-46.6843624878193,5,kilometer,238.0,1135251.0,10.0,16.0,10.0,7.0,43.0,chacara,04601-000,R Prsa Isabel,Brooklin Paulista,São Paulo,SP,8.22645652173913,1
431965,2022,-23.6246191034549,-46.6856442155037,5,kilometer,513.0,192829.0,32.0,35.0,32.0,39.0,138.0,chacara,04601-000,R Prsa Isabel,Brooklin Paulista,São Paulo,SP,13.973115942028986,2
431966,2022,-23.6193294532298,-46.676188402985,5,kilometer,252.0,1026621.0,7.0,9.0,7.0,7.0,30.0,chacara,04617-001,R  Vieira De Morais,Campo Belo,São Paulo,SP,7.439282608695652,1
431968,2022,-23.616949046178,-46.6739460521729,5,kilometer,228.0,156505.0,,5.0,,,5.0,chacara,04604-007,Av Ver Jose Diniz,Santo Amaro,São Paulo,SP,11.340942028985507,2
431969,2022,-23.6181450350232,-46.6750671319837,5,kilometer,204.0,1777315.0,9.0,10.0,6.0,8.0,33.0,chacara,04616-905,R  Pascal,Campo Belo,São Paulo,SP,12.879094202898552,1
431970,2022,-23.6165923307137,-46.680045117862,5,kilometer,168.0,928249.0,,,3.0,,3.0,chacara,04618-916,R  Alvaro Luis R. De Assumpcao,Campo Belo,São Paulo,SP,6.726442028985507,2
431971,2022,-23.6328653886137,-46.6707942674071,5,kilometer,330.0,189929.0,16.0,20.0,22.0,28.0,86.0,chacara,04576-010,Av Jorn Roberto Marinho,Cidade Monções,São Paulo,SP,1.3762971014492753,2
431974,2022,-23.6319683569181,-46.671537807483,5,kilometer,170.0,188958.0,8.0,14.0,7.0,18.0,47.0,chacara,04622-011,R  Tibirica,Brooklin Paulista,São Paulo,SP,1.3692608695652173,2
431975,2022,-23.6252073495351,-46.6771377503309,5,kilometer,107.0,184416.0,,5.0,6.0,5.0,16.0,chacara,04609-011,R  Jose Dos Santos Junior,Campo Belo,São Paulo,SP,1.3363478260869566,2
431976,2022,-23.6243843170378,-46.6766210801699,5,kilometer,141.0,159861.0,9.0,10.0,6.0,8.0,33.0,chacara,04608-010,R  Volta Redonda,Campo Belo,São Paulo,SP,1.158413043478261,2
431977,2022,-23.6309095526479,-46.6732258200655,5,kilometer,229.0,198764.0,24.0,19.0,16.0,12.0,71.0,chacara,04620-004,R  Bernardino De Campos,Campo Belo,São Paulo,SP,1.4403188405797103,2
431978,2022,-23.6270980811234,-46.6730002698692,5,kilometer,234.0,129469.0,11.0,6.0,7.0,7.0,31.0,chacara,04608-011,R  Volta Redonda,Campo Belo,São Paulo,SP,9.381811594202897,2
431979,2022,-23.6279705680466,-46.6722978367556,5,kilometer,214.0,1166079.0,4.0,4.0,3.0,8.0,19.0,chacara,04619-032,R  Vicente Leporace,Campo Belo,São Paulo,SP,8.449847826086957,1
431980,2022,-23.6259753190178,-46.6729157442956,5,kilometer,207.0,1048969.0,6.0,11.0,4.0,9.0,30.0,chacara,04611-001,R  Republica Do Iraque,Brooklin Paulista,São Paulo,SP,7.60122463768116,1
431981,2022,-23.6271794752724,-46.6715630251139,5,kilometer,278.0,1357982.0,6.0,8.0,8.0,9.0,31.0,chacara,04619-005,R  Gabriele D'Annunzio,Campo Belo,São Paulo,SP,9.84044927536232,1
431982,2022,-23.6258245197506,-46.6682171730496,5,kilometer,339.0,1051549.0,20.0,7.0,12.0,12.0,51.0,chacara,04624-100,R  Ibituruna,Vila Congonhas,São Paulo,SP,7.619920289855072,1
431984,2022,-23.6229630528856,-46.675108798779696,5,kilometer,457.0,2565731.0,30.0,39.0,42.0,30.0,141.0,chacara,04608-001,R Cd De Porto Alegre,Campo Belo,São Paulo,SP,18.592253623188405,3
431985,2022,-23.6238371979869,-46.6734312174761,5,kilometer,382.0,1850449.0,14.0,13.0,13.0,11.0,51.0,chacara,04618-035,R  Edson,Campo Belo,São Paulo,SP,13.409050724637682,1
431986,2022,-23.619959263036,-46.6771657775964,5,kilometer,150.0,1230732.0,0.0,0.0,0.0,0.0,0.0,chacara,04604-005,Av Ver Jose Diniz,Santo Amaro,São Paulo,SP,8.918347826086956,1
431988,2022,-23.6215684985609,-46.6754710471522,5,kilometer,235.0,1283255.0,8.0,16.0,5.0,7.0,36.0,chacara,04606-901,R Br De Jaceguai,Campo Belo,São Paulo,SP,9.298949275362318,1
431989,2022,-23.6214071970961,-46.6748596674644,5,kilometer,186.0,1248555.0,9.0,10.0,4.0,6.0,29.0,chacara,04618-911,R  Joao De Sousa Dias,Campo Belo,São Paulo,SP,9.0475,1
431990,2022,-23.6201857196174,-46.678569212410494,5,kilometer,359.0,2017896.0,20.0,20.0,21.0,22.0,83.0,chacara,04603-002,Av Ver Jose Diniz,Santo Amaro,São Paulo,SP,14.622434782608694,3
431991,2022,-23.6194029705186,-46.6778307550112,5,kilometer,261.0,1630892.0,10.0,10.0,14.0,6.0,40.0,chacara,04618-031,R  Edson,Campo Belo,São Paulo,SP,11.818057971014493,1
431992,2022,-23.6289158281096,-46.6685138700899,5,kilometer,302.0,2125748.0,34.0,26.0,26.0,12.0,98.0,chacara,04624-000,R  Estevao Baiao,Vila Congonhas,São Paulo,SP,15.403971014492754,3
431993,2022,-23.6291827939192,-46.668106343475,5,kilometer,281.0,2131053.0,30.0,17.0,17.0,9.0,73.0,chacara,04624-000,R  Estevao Baiao,Vila Congonhas,São Paulo,SP,15.44241304347826,3
431994,2022,-23.62951528911,-46.668581393852,5,kilometer,274.0,1841037.0,25.0,27.0,26.0,9.0,87.0,chacara,04624-000,R  Estevao Baiao,Vila Congonhas,São Paulo,SP,13.340847826086955,1
431995,2022,-23.6317981111305,-46.6683414975428,5,kilometer,248.0,684865.0,15.0,11.0,4.0,10.0,40.0,chacara,04625-900,R Pde Leonardo,Nova Piraju,São Paulo,SP,4.962789855072463,2
